rank,handle_instagram,name_instagram,category_1,category_2,followers,audience_country,engagement_auth,engagement_avg,category_unified,category_status,_platform,_month,_year
202,willsmith,Will Smith,Cinema & Actors/actresses,Music,62600000.0,United States,256899.99999999997,313300.0,Entertainment,MAPPED,instagram,december,2022
203,kunaguero,Sergio Leonel Agüero,Sports with a ball,,25800000.0,Argentina,433700.0,751000.0,Sports,MAPPED,instagram,december,2022
204,domelipa,domelipa,Lifestyle,,20700000.0,Mexico,761200.0,927600.0,Lifestyle,MAPPED,instagram,december,2022
205,iambeckyg,Becky G,Music,,34600000.0,United States,433000.0,548500.0,Music,MAPPED,instagram,december,2022
206,anushkasen0408,Anushka Sen,Cinema & Actors/actresses,,39000000.0,India,417700.0,487700.0,Entertainment,MAPPED,instagram,december,2022
207,awez_darbar,Awez Darbar,Shows,Cinema & Actors/actresses,26400000.0,India,596400.0,714700.0,Entertainment,MAPPED,instagram,december,2022
208,emmachamberlain,emma chamberlain,Lifestyle,Shows,16200000.0,United States,751400.0,1200000.0,Lifestyle,MAPPED,instagram,december,2022
209,juanpazurita,Juanpa Zurita,Cinema & Actors/actresses,,31300000.0,Mexico,417700.0,594500.0,Entertainment,MAPPED,instagram,december,2022
210,mclomaofficial,Paloma Santos 🐟,Music,,12300000.0,Brazil,886900.0,1500000.0,Music,MAPPED,instagram,december,2022
211,bambam1a,BamBam,Music,,17100000.0,Brazil,864600.0,1100000.0,Music,MAPPED,instagram,december,2022
212,lilbaby,,Music,,21200000.0,United States,473800.0,873100.0,Music,MAPPED,instagram,december,2022
213,vancityreynolds,Ryan Reynolds,Cinema & Actors/actresses,,47100000.0,United States,292000.0,384300.0,Entertainment,MAPPED,instagram,december,2022
214,nike,Nike,Fitness & Gym,Shopping & Retail,252300000.0,United States,56100.0,72800.0,Sports,MAPPED,instagram,december,2022
215,renebaebae,IRENE,Lifestyle,Modeling,10900000.0,Indonesia,1400000.0,1700000.0,Lifestyle,MAPPED,instagram,december,2022
216,do0_nct,Doyoung,Lifestyle,,10800000.0,Indonesia,1300000.0,1600000.0,Lifestyle,MAPPED,instagram,december,2022
217,maisa,+A,Music,,45800000.0,Brazil,284000.0,386400.0,Music,MAPPED,instagram,december,2022
218,jamesrodriguez10,James Rodríguez,Sports with a ball,,50200000.0,Colombia,235200.0,348700.0,Sports,MAPPED,instagram,december,2022
219,urvashirautela,Urvashi Rautela,Cinema & Actors/actresses,,60300000.0,India,246600.0,291000.0,Entertainment,MAPPED,instagram,december,2022
220,enhypen,ENHYPEN,Lifestyle,,11300000.0,Indonesia,1300000.0,1600000.0,Lifestyle,MAPPED,instagram,december,2022
221,shahidkapoor,Shahid Kapoor,Cinema & Actors/actresses,,37000000.0,India,416300.0,471700.0,Entertainment,MAPPED,instagram,december,2022
222,onyourm__ark,Mark,Lifestyle,,9900000.0,Indonesia,1400000.0,1800000.0,Lifestyle,MAPPED,instagram,december,2022
223,ronaldo,Ronaldo,Sports with a ball,,26300000.0,Brazil,401600.0,661700.0,Sports,MAPPED,instagram,december,2022
224,nayeonyny,나연 (NAYEON),Lifestyle,,9200000.0,Brazil,1600000.0,1900000.0,Lifestyle,MAPPED,instagram,december,2022
225,emrata,Emily Ratajkowski,Modeling,,29700000.0,United States,355600.0,567800.0,Beauty&Fashion,MAPPED,instagram,december,2022
226,brunamarquezine,Bruna Marquezine,Cinema & Actors/actresses,,43600000.0,Brazil,223900.0,386900.0,Entertainment,MAPPED,instagram,december,2022
227,camimendes,camila mendes,Cinema & Actors/actresses,,27200000.0,Brazil,443400.0,614600.0,Entertainment,MAPPED,instagram,december,2022
228,iansomerhalder,iansomerhalder,Cinema & Actors/actresses,,23800000.0,United States,465800.0,696200.0,Entertainment,MAPPED,instagram,december,2022
229,brunomars,Bruno Mars,Music,,26900000.0,Brazil,403500.0,611500.0,Music,MAPPED,instagram,december,2022
230,riaricis1795,RICIS,Lifestyle,,32700000.000000004,Indonesia,415700.0,494300.0,Lifestyle,MAPPED,instagram,december,2022
231,varundvn,VarunDhawan,Cinema & Actors/actresses,,44900000.0,India,293300.0,357400.0,Entertainment,MAPPED,instagram,december,2022
232,prattprattpratt,Chris Pratt,Cinema & Actors/actresses,,40100000.0,United States,304000.0,398100.0,Entertainment,MAPPED,instagram,december,2022
233,holyhaein,정해인,Lifestyle,Music,10600000.0,Indonesia,1200000.0,1500000.0,Lifestyle,MAPPED,instagram,december,2022
234,larasilva,Lara Silva,Shows,Adult content,17300000.0,Brazil,582700.0,897200.0,Entertainment,MAPPED,instagram,december,2022
235,m10_official,Mesut Özil,Sports with a ball,,24500000.0,Indonesia,474500.0,629300.0,Sports,MAPPED,instagram,december,2022
236,duki,Ya Supiste,Music,,11500000.0,Argentina,817600.0,1300000.0,Music,MAPPED,instagram,december,2022
237,iamhalsey,halsey,Music,,30900000.0,United States,373100.0,491100.0,Music,MAPPED,instagram,december,2022
238,cbum,Chris Bumstead,Fitness & Gym,,11800000.0,India,836400.0,1300000.0,Sports,MAPPED,instagram,december,2022
239,asaprocky,A$AP ROCKY,Music,,15200000.0,United States,586000.0,979000.0,Music,MAPPED,instagram,december,2022
240,aron.piper,ARON🌜🌞,Music,Lifestyle,13300000.0,Brazil,587100.0,1100000.0,Music,MAPPED,instagram,december,2022
241,therealcalebmclaughlin,Caleb McLaughlin,Cinema & Actors/actresses,Lifestyle,15200000.0,United States,659300.0,968400.0,Entertainment,MAPPED,instagram,december,2022
242,taeoxo_nct,TAEYONG,Lifestyle,Music,10000000.0,Australia,1300000.0,1500000.0,Lifestyle,MAPPED,instagram,december,2022
243,louispartridge_,Louis💐,Cinema & Actors/actresses,,9200000.0,United States,1100000.0,1600000.0,Entertainment,MAPPED,instagram,december,2022
244,attahalilintar,Atta Halilintar - PAPATA,Art/Artists,Shows,25900000.0,Indonesia,408900.0,558800.0,Lifestyle,MAPPED,instagram,december,2022
245,haileesteinfeld,hailee steinfeld,Cinema & Actors/actresses,,19900000.0,United States,569500.0,723000.0,Entertainment,MAPPED,instagram,december,2022
246,min9yu_k,김민규,Music,,8100000.0,Indonesia,1500000.0,1800000.0,Music,MAPPED,instagram,december,2022
247,thinkaboutzu,쯔위 (TZUYU),,,9000000.0,India,1400000.0,1600000.0,,,instagram,december,2022
248,xeesoxee,한소희,Lifestyle,,10500000.0,Indonesia,1000000.0,1400000.0,Lifestyle,MAPPED,instagram,december,2022
249,riyaz.14,Riyaz Aly,Lifestyle,Art/Artists,27300000.0,India,402100.0,521200.00000000006,Lifestyle,MAPPED,instagram,december,2022
250,pubity,Pubity,Humor & Fun & Happiness,,31900000.0,United States,312900.0,442900.0,Entertainment,MAPPED,instagram,december,2022
251,mariliamendoncacantora,Marilia Mendonça,Music,Lifestyle,41800000.0,Brazil,211100.0,339200.0,Music,MAPPED,instagram,december,2022
252,enzojfernandez,Enzo Fernández ⚽️,Lifestyle,Sports with a ball,6200000.0,Argentina,1100000.0,2300000.0,Lifestyle,MAPPED,instagram,december,2022
253,ememyers,Emma Myers,,,8500000.0,United States,1100000.0,1700000.0,,,instagram,december,2022
254,hziyech,Hakim Ziyech,Sports with a ball,,9000000.0,Morocco,1200000.0,1600000.0,Sports,MAPPED,instagram,december,2022
255,arigameplays,ARIGAMEPLAYS,Lifestyle,Gaming,11900000.0,Mexico,969900.0,1200000.0,Lifestyle,MAPPED,instagram,december,2022
256,somsomi0309,ENNIK SOMI,Music,,16200000.0,Indonesia,705200.0,852900.0,Music,MAPPED,instagram,december,2022
257,samoylovaoxana,Samoylova Oxana,Family,Lifestyle,15400000.0,Russia,662000.0,897600.0,Lifestyle,MAPPED,instagram,december,2022
258,krisjenner,Kris Jenner,Shows,Beauty,51000000.0,United States,176800.0,269100.0,Entertainment,MAPPED,instagram,december,2022
259,gatenm123,Gaten Matarazzo,Music,Cinema & Actors/actresses,18700000.0,Brazil,551100.0,727700.0,Music,MAPPED,instagram,december,2022
260,iamferv,katteyes,Lifestyle,Art/Artists,11400000.0,Mexico,812700.0,1200000.0,Lifestyle,MAPPED,instagram,december,2022
261,garethbale11,Gareth Bale,Sports with a ball,,48900000.0,Indonesia,171500.0,278100.0,Sports,MAPPED,instagram,december,2022
262,germangarmendia,GERMAN,Cinema & Actors/actresses,Fitness & Gym,15200000.0,Argentina,741000.0,895800.0,Entertainment,MAPPED,instagram,december,2022
263,fabriziorom,Fabrizio Romano,Literature & Journalism,Shows,11600000.0,Italy,672900.0,1200000.0,Knowledge&Info,MAPPED,instagram,december,2022
264,trippieredd,555,Music,,13500000.0,United States,513900.0,1000000.0,Music,MAPPED,instagram,december,2022
265,bighit_ent,BigHit Music Updates,Music,,12700000.0,Indonesia,855900.0,1100000.0,Music,MAPPED,instagram,december,2022
266,perrieedwards,Perrie Edwards 🖤,Modeling,,16700000.0,Brazil,571000.0,806300.0,Beauty&Fashion,MAPPED,instagram,december,2022
267,janhvikapoor,Janhvi Kapoor,Lifestyle,Cinema & Actors/actresses,21000000.0,India,535400.0,638700.0,Lifestyle,MAPPED,instagram,december,2022
268,iammichelemorroneofficial,Michele Morrone,Lifestyle,Cinema & Actors/actresses,15700000.0,Brazil,589500.0,844600.0,Lifestyle,MAPPED,instagram,december,2022
269,nusr_et,Nusr_et#Saltbae,Food & Cooking,,49800000.0,Turkey,181500.0,267000.0,Lifestyle,MAPPED,instagram,december,2022
270,liampayne,Liam Payne,Music,,24700000.0,United States,387200.0,541600.0,Music,MAPPED,instagram,december,2022
271,kendricklamar,Kendrick Lamar,Music,Art/Artists,12100000.0,United States,594800.0,1100000.0,Music,MAPPED,instagram,december,2022
272,norafatehi,Nora Fatehi,Cinema & Actors/actresses,Music,43600000.0,India,245000.0,301200.0,Entertainment,MAPPED,instagram,december,2022
273,postmalone,,Music,,23000000.0,United States,371700.0,568100.0,Music,MAPPED,instagram,december,2022
274,nina,Nina Dobrev,Cinema & Actors/actresses,,26000000.0,Brazil,346600.0,497200.0,Entertainment,MAPPED,instagram,december,2022
275,soohyun_k216,김수현 Kim Soo Hyun 金秀賢,,,14100000.0,Indonesia,754500.0,919400.0,,,instagram,december,2022
276,chaeyo.0,채영 (CHAEYOUNG),Lifestyle,,7600000.0,Philippines,1500000.0,1700000.0,Lifestyle,MAPPED,instagram,december,2022
277,britneyspears,Channel 8,Music,,41600000.0,United States,226200.0,315900.0,Music,MAPPED,instagram,december,2022
278,juandediospantoja,JD PANTOJA 🇲🇽,Music,Art/Artists,23100000.0,Mexico,490400.0,559300.0,Music,MAPPED,instagram,december,2022
279,madelyncline,Madelyn Cline,Cinema & Actors/actresses,,12600000.0,United States,708800.0,1000000.0,Entertainment,MAPPED,instagram,december,2022
280,antogriezmann,Antoine Griezmann,Sports with a ball,,38000000.0,Spain,208600.0,336600.0,Sports,MAPPED,instagram,december,2022
281,taeyeon_ss,TaeYeon,Music,,18900000.0,South Korea,554500.0,674400.0,Music,MAPPED,instagram,december,2022
282,keerthysureshofficial,Keerthy Suresh,Beauty,Cinema & Actors/actresses,14100000.0,India,824900.0,903200.0,Beauty&Fashion,MAPPED,instagram,december,2022
283,yellow_3to3,REN JUN,Lifestyle,Music,6700000.0,Indonesia,1700000.0,1900000.0,Lifestyle,MAPPED,instagram,december,2022
284,m.by__sana,사나 (SANA),Lifestyle,,8300000.000000001,Yemen,1300000.0,1600000.0,Lifestyle,MAPPED,instagram,december,2022
285,marshmello,marshmello,Music,,29800000.0,United States,290000.0,418900.0,Music,MAPPED,instagram,december,2022
286,nct,NCT Official Instagram,Music,,15000000.0,Indonesia,672900.0,834500.0,Music,MAPPED,instagram,december,2022
287,keniaos,Kenia Os,Music,,14300000.0,Mexico,669700.0,869600.0,Music,MAPPED,instagram,december,2022
288,phil.coutinho,Philippe Coutinho,Sports with a ball,,25100000.0,Brazil,304300.0,494400.0,Sports,MAPPED,instagram,december,2022
289,sommerray,Sommer Ray,Modeling,,26100000.0,United States,303500.0,475800.0,Beauty&Fashion,MAPPED,instagram,december,2022
290,danialves,Daniel Alves,Sports with a ball,,38400000.0,Brazil,216900.0,322600.0,Sports,MAPPED,instagram,december,2022
291,zefelipecantor,Zé,Music,,25500000.0,Brazil,277400.0,487800.0,Music,MAPPED,instagram,december,2022
292,larissamanoela,Larissa Manoela,Cinema & Actors/actresses,,47900000.0,Brazil,155700.0,258200.0,Entertainment,MAPPED,instagram,december,2022
293,rauwalejandro,RAULEETO,Music,,15600000.0,Spain,539300.0,779900.0,Music,MAPPED,instagram,december,2022
294,alwaysramcharan,Ram Charan,Cinema & Actors/actresses,,10800000.0,India,998200.0,1100000.0,Entertainment,MAPPED,instagram,december,2022
295,ishowspeed,IShowSpeed,Lifestyle,,7200000.0,United Kingdom,1200000.0,1700000.0,Lifestyle,MAPPED,instagram,december,2022
296,clean_0828,김세정,Lifestyle,,9000000.0,Indonesia,1100000.0,1400000.0,Lifestyle,MAPPED,instagram,december,2022
297,michelleobama,Michelle Obama,Finance & Economics,Business & Careers,52000000.0,United States,208400.0,233800.0,Knowledge&Info,MAPPED,instagram,december,2022
298,kevinhart4real,Kevin Hart,Cinema & Actors/actresses,,160000000.0,United States,58300.0,75400.0,Entertainment,MAPPED,instagram,december,2022
299,bellapoarch,Bella Poarch,Lifestyle,Music,13600000.0,United States,681900.0,881300.0,Lifestyle,MAPPED,instagram,december,2022
300,ashishchanchlani,Ashish Chanchlani,Cinema & Actors/actresses,,14400000.0,India,676300.0,826900.0,Entertainment,MAPPED,instagram,december,2022
301,jessicah_o,Jessi / 제시,Music,,12900000.0,United States,717800.0,918300.0,Music,MAPPED,instagram,december,2022
302,paulwesley,Paul Wesley,Cinema & Actors/actresses,,12500000.0,Brazil,631100.0,943000.0,Entertainment,MAPPED,instagram,december,2022
303,sophiet,S O P H I E T U R N E R,Cinema & Actors/actresses,,14700000.0,United States,594200.0,798700.0,Entertainment,MAPPED,instagram,december,2022
304,daddyyankee,Daddy Yankee,Music,,47000000.0,Argentina,178000.0,247900.0,Music,MAPPED,instagram,december,2022
305,kevindebruyne,Kevin De Bruyne,Sports with a ball,,19800000.0,United Kingdom,376900.0,587700.0,Sports,MAPPED,instagram,december,2022
306,greeicy,Greeicy,Shows,Cinema & Actors/actresses,21700000.0,Colombia,397600.0,533500.0,Entertainment,MAPPED,instagram,december,2022
307,sidmalhotra,Sidharth Malhotra,Cinema & Actors/actresses,Modeling,21800000.0,India,427900.0,532100.0,Entertainment,MAPPED,instagram,december,2022
308,bhuvan.bam22,Bhuvan Bam,Cinema & Actors/actresses,,15100000.0,India,615400.0,761500.0,Entertainment,MAPPED,instagram,december,2022
309,johnnyjsuh,Johnny Suh,Lifestyle,Music,9100000.0,Indonesia,985900.0,1300000.0,Lifestyle,MAPPED,instagram,december,2022
310,mr_faisu_07,FAISAL SHAIKH,Modeling,Cinema & Actors/actresses,28800000.0,India,315800.0,401700.0,Beauty&Fashion,MAPPED,instagram,december,2022
311,heybiblee,이성경,Modeling,,14500000.0,Indonesia,582900.0,787000.0,Beauty&Fashion,MAPPED,instagram,december,2022
312,mina_sr_my,미나 (MINA),,,7100000.0,Indonesia,1400000.0,1600000.0,,,instagram,december,2022
313,josephquinn,Joseph Quinn,Cinema & Actors/actresses,,8100000.0,Brazil,1200000.0,1400000.0,Entertainment,MAPPED,instagram,december,2022
314,m_kayoung,MUN KA YOUNG,Cinema & Actors/actresses,,8800000.0,Indonesia,963500.0,1300000.0,Entertainment,MAPPED,instagram,december,2022
315,nicki.nicole,,Music,,13100000.0,Argentina,573100.0,847400.0,Music,MAPPED,instagram,december,2022
316,xxxibgdrgn,권지용(權志龍),Photography,Fashion,21600000.0,Indonesia,399400.0,506400.0,Lifestyle,MAPPED,instagram,december,2022
317,angelrai07,Angel Rai :),Cinema & Actors/actresses,Art/Artists,24500000.0,India,371200.0,448300.0,Entertainment,MAPPED,instagram,december,2022
318,9gag,9GAG: Go Fun The World,Humor & Fun & Happiness,,58100000.0,Indonesia,146200.0,187000.0,Entertainment,MAPPED,instagram,december,2022
319,sonu_sood,Sonu Sood,Cinema & Actors/actresses,,20300000.0,India,469000.0,536000.0,Entertainment,MAPPED,instagram,december,2022
320,sadiomaneofficiel,Sadio Mane,Sports with a ball,,13000000.0,United Kingdom,583400.0,832000.0,Sports,MAPPED,instagram,december,2022
321,cbf_futebol,Seleção Brasileira de Futebol,Sports with a ball,,15700000.0,Brazil,368700.0,687200.0,Sports,MAPPED,instagram,december,2022
322,itzy.all.in.us,ITZY,Music,,18100000.0,Indonesia,485700.0,593700.0,Music,MAPPED,instagram,december,2022
323,tigerjackieshroff,Tiger Shroff,Cinema & Actors/actresses,,36100000.0,India,244600.0,298000.0,Entertainment,MAPPED,instagram,december,2022
324,eumarielysantos,Mariely Santos,Music,,8600000.0,Brazil,658700.0,1300000.0,Music,MAPPED,instagram,december,2022
325,louist91,Louis Tomlinson,Music,,18400000.0,Brazil,423700.0,576600.0,Music,MAPPED,instagram,december,2022
326,nattinatasha,NATTI NATASHA,Music,Cinema & Actors/actresses,36100000.0,Mexico,244000.0,293000.0,Music,MAPPED,instagram,december,2022
327,avneetkaur_13,Avneet Kaur Official,Cinema & Actors/actresses,,32700000.000000004,India,275400.0,322200.0,Entertainment,MAPPED,instagram,december,2022
328,jacobelordi,Jacob Elordi,Cinema & Actors/actresses,,12900000.0,Brazil,489500.0,806800.0,Entertainment,MAPPED,instagram,december,2022
329,casemiro,Casemiro,Sports with a ball,,19100000.0,Brazil,366500.0,545700.0,Sports,MAPPED,instagram,december,2022
330,aespa_official,aespa 에스파,Music,,9700000.0,Indonesia,975100.0,1100000.0,Music,MAPPED,instagram,december,2022
331,antony00,Antony Santos,Sports with a ball,,9600000.0,Brazil,594300.0,1100000.0,Sports,MAPPED,instagram,december,2022
332,_zyozyo,JIHYO,Lifestyle,,7400000.0,Indonesia,1100000.0,1400000.0,Lifestyle,MAPPED,instagram,december,2022
333,parineetichopra,𝙿𝚊𝚛𝚒𝚗𝚎𝚎𝚝𝚒 𝙲𝚑𝚘𝚙𝚛𝚊 🫧,Cinema & Actors/actresses,,39100000.0,India,226700.0,261800.0,Entertainment,MAPPED,instagram,december,2022
334,kajalaggarwalofficial,Kajal A Kitchlu,Cinema & Actors/actresses,,24400000.0,India,342500.0,414000.0,Entertainment,MAPPED,instagram,december,2022
335,hyunah_aa,Hyun Ah,Music,,18600000.0,South Korea,455700.0,539900.0,Music,MAPPED,instagram,december,2022
336,sachintendulkar,Sachin Tendulkar,Sports with a ball,Lifestyle,37500000.0,India,223400.0,268000.0,Sports,MAPPED,instagram,december,2022
337,ranveersingh,Ranveer Singh,Cinema & Actors/actresses,Modeling,42500000.0,India,181200.0,236000.0,Entertainment,MAPPED,instagram,december,2022
338,conangray,Conan Gray,Music,,7200000.0,United States,1000000.0,1400000.0,Music,MAPPED,instagram,december,2022
339,caviarmagnat,Anton Tregubov,Lifestyle,,15600000.0,Russia,444800.0,641800.0,Lifestyle,MAPPED,instagram,december,2022
340,haechanahceah,HAECHAN,,,5400000.0,Indonesia,1700000.0,1900000.0,,,instagram,december,2022
341,adidasfootball,adidas Football,Sports with a ball,,32100000.0,Brazil,226700.0,309100.0,Sports,MAPPED,instagram,december,2022
342,aurelie.hermansyah,Aurelie Hermansyah Atta,Beauty,,29700000.0,Indonesia,264000.0,333500.0,Beauty&Fashion,MAPPED,instagram,december,2022
343,mont.pantoja,MONT,,,12600000.0,Mexico,661200.0,786300.0,,,instagram,december,2022
344,lautaromartinez,Lautaro Javier Martinez,Sports with a ball,,8400000.0,Italy,765200.0,1200000.0,Sports,MAPPED,instagram,december,2022
345,kimjuncotton,SUHO,Lifestyle,Music,10500000.0,Indonesia,788600.0,940200.0,Lifestyle,MAPPED,instagram,december,2022
346,manurios,Manu Rios,Shows,,11100000.0,Mexico,522500.0,881400.0,Entertainment,MAPPED,instagram,december,2022
347,c.syresmith,Jaden Smith,Cinema & Actors/actresses,Lifestyle,19400000.0,United States,325300.0,503300.0,Entertainment,MAPPED,instagram,december,2022
348,anuel,“REAL HASTA LA MUERTE”,Music,,30200000.0,Spain,212800.0,324100.0,Music,MAPPED,instagram,december,2022
349,coldplay,Coldplay,Music,,20400000.0,Brazil,343400.0,478300.0,Music,MAPPED,instagram,december,2022
350,lilnasx,dumb,Music,,12300000.0,United States,464300.0,776900.0,Music,MAPPED,instagram,december,2022
351,hero_ft,Hero Fiennes Tiffin,Cinema & Actors/actresses,Modeling,7600000.0,Brazil,790900.0,1300000.0,Entertainment,MAPPED,instagram,december,2022
352,jy_piece,정연 (JEONGYEON),,,6100000.0,Brazil,1300000.0,1600000.0,,,instagram,december,2022
353,charlieputh,Charlie Puth,Music,,17300000.0,United States,386000.0,547700.0,Music,MAPPED,instagram,december,2022
354,saythename_17,SEVENTEEN,Music,,10700000.0,Indonesia,792800.0,891800.0,Music,MAPPED,instagram,december,2022
355,realbarbarapalvin,Barbara Palvin,Modeling,Fashion,18600000.0,Russia,375200.0,506400.0,Beauty&Fashion,MAPPED,instagram,december,2022
356,for_everyoung10,장원영 WONYOUNG,Lifestyle,,6500000.0,China,1300000.0,1500000.0,Lifestyle,MAPPED,instagram,december,2022
357,jakepaul,Jake Paul,Cinema & Actors/actresses,,21500000.0,United States,261899.99999999997,437700.0,Entertainment,MAPPED,instagram,december,2022
358,ibaillanos,Ibai,Art/Artists,,8300000.000000001,Spain,794800.0,1100000.0,Lifestyle,MAPPED,instagram,december,2022
359,_imyour_joy,Joy,Lifestyle,,14400000.0,Indonesia,542200.0,648300.0,Lifestyle,MAPPED,instagram,december,2022
360,mcdanieloficiall,Mc Daniel,Family,,8000000.0,Brazil,441300.0,1200000.0,Lifestyle,MAPPED,instagram,december,2022
361,fedez,FEDEZ,Music,,14500000.0,Italy,461500.0,642900.0,Music,MAPPED,instagram,december,2022
362,burakozcivit,Burak Özçivit,Cinema & Actors/actresses,,22600000.0,Turkey,343000.0,415900.0,Entertainment,MAPPED,instagram,december,2022
363,mariasbaby,Maria Alice e Maria Flor,,,7900000.0,Brazil,572300.0,1200000.0,,,instagram,december,2022
364,dannapaola,Danna Paola,Music,,34800000.0,Mexico,184300.0,267300.0,Music,MAPPED,instagram,december,2022
365,leoparedes20,Leandro Paredes,Sports with a ball,,8199999.999999999,Argentina,678000.0,1100000.0,Sports,MAPPED,instagram,december,2022
366,yuu_taa_1026,中本悠太　YUTA,,,8800000.0,Indonesia,813200.0,1100000.0,,,instagram,december,2022
367,leejen_o_423,LEE JENO,,,4300000.0,Indonesia,1800000.0,2200000.0,,,instagram,december,2022
368,taina,Tainá Costa,Music,,16300000.0,Brazil,269400.0,562500.0,Music,MAPPED,instagram,december,2022
369,hi_sseulgi,슬기 Seulgi,Modeling,,12700000.0,Indonesia,573800.0,719100.0,Beauty&Fashion,MAPPED,instagram,december,2022
370,sunnyleone,Sunny Leone,Beauty,Cinema & Actors/actresses,54400000.0,India,131800.0,168100.0,Beauty&Fashion,MAPPED,instagram,december,2022
371,yoona__lim,,Cinema & Actors/actresses,,14300000.0,Indonesia,531800.0,635900.0,Entertainment,MAPPED,instagram,december,2022
372,gisele,Gisele Bündchen,Modeling,Fashion,20300000.0,Brazil,302000.0,448400.0,Beauty&Fashion,MAPPED,instagram,december,2022
373,o.dembele7,Ousmane Dembélé,Sports with a ball,,12800000.0,Spain,413400.0,706600.0,Sports,MAPPED,instagram,december,2022
374,adamweitsman,Adam Weitsman,Business & Careers,,19600000.0,Russia,374000.0,457800.0,Knowledge&Info,MAPPED,instagram,december,2022
375,hakkiakdenizz,hakki akdeniz,Business & Careers,,28600000.0,Russia,215700.0,312700.0,Knowledge&Info,MAPPED,instagram,december,2022
376,abdevilliers17,AB de Villiers,Sports with a ball,Lifestyle,19900000.0,India,389500.0,449200.0,Sports,MAPPED,instagram,december,2022
377,felipeneto,Felipe Neto 🦉,Lifestyle,,17000000.0,Brazil,382000.0,527900.0,Lifestyle,MAPPED,instagram,december,2022
378,bellathorne,BELLA,Music,Art/Artists,25300000.0,United States,209400.0,350600.0,Music,MAPPED,instagram,december,2022
379,chrissyteigen,chrissy teigen,Shows,Modeling,40100000.0,United States,169400.0,221200.0,Entertainment,MAPPED,instagram,december,2022
380,hegdepooja,Pooja Hegde,Cinema & Actors/actresses,,22000000.0,India,347700.0,400800.0,Entertainment,MAPPED,instagram,december,2022
381,tenlee_1001,TEN_+•10,Music,,10200000.0,Indonesia,673900.0,862700.0,Music,MAPPED,instagram,december,2022
382,paulolondra,Paulo londra,Music,,13900000.0,Argentina,404900.0,632700.0,Music,MAPPED,instagram,december,2022
383,evaluna,Evaluna Montaner de Echeverry,Family,Music,20900000.0,Argentina,304000.0,418900.0,Lifestyle,MAPPED,instagram,december,2022
384,houseofhighlights,House of Highlights,Sports with a ball,,38000000.0,United States,126100.0,231000.0,Sports,MAPPED,instagram,december,2022
385,toyajohnson,Antonia “Toya” Johnson- Rushing,Literature & Journalism,,11600000.0,United States,393000.0,749500.0,Knowledge&Info,MAPPED,instagram,december,2022
386,angelinajolie,Angelina Jolie,,,14100000.0,Brazil,394200.0,684300.0,,,instagram,december,2022
387,shehnaazgill,Shehnaaz Gill,Cinema & Actors/actresses,Music,13500000.0,India,539500.0,662800.0,Entertainment,MAPPED,instagram,december,2022
388,chiaraferragni,Chiara Ferragni ✨,Beauty,,28300000.0,Italy,205500.0,306100.0,Beauty&Fashion,MAPPED,instagram,december,2022
389,wow_kimsohyun,김소현,Music,Cinema & Actors/actresses,12500000.0,Indonesia,603000.0,693500.0,Music,MAPPED,instagram,december,2022
390,colesprouse,Cole Sprouse,Modeling,,35300000.0,United States,186300.0,243500.0,Beauty&Fashion,MAPPED,instagram,december,2022
391,frenkiedejong,Frenkie de Jong,Sports with a ball,,11000000.0,Spain,557700.0,778200.0,Sports,MAPPED,instagram,december,2022
392,maddieziegler,maddie,Cinema & Actors/actresses,Modeling,13800000.0,United States,412300.0,618100.0,Entertainment,MAPPED,instagram,december,2022
393,raffinagita1717,Raffi Ahmad and Nagita Slavina,Shows,,66099999.99999999,Indonesia,88300.0,128900.0,Entertainment,MAPPED,instagram,december,2022
394,mingue.k,김민규,Lifestyle,Music,6600000.0,Indonesia,1100000.0,1300000.0,Lifestyle,MAPPED,instagram,december,2022
395,luisasonza,LUÍSA SONZA,Music,Lifestyle,30700000.0,Brazil,175000.0,277700.0,Music,MAPPED,instagram,december,2022
396,jinyoung_0922jy,박진영,Music,,10000000.0,Indonesia,650400.0,860600.0,Music,MAPPED,instagram,december,2022
397,urstrulymahesh,Mahesh Babu,Cinema & Actors/actresses,,9400000.0,India,828300.0,911500.0,Entertainment,MAPPED,instagram,december,2022
398,dahhyunnee,다현 (DAHYUN),Music,,6900000.0,Brazil,1100000.0,1200000.0,Music,MAPPED,instagram,december,2022
399,pozevidalouca,Poze Do Rodo 🤑,Lifestyle,,9900000.0,Brazil,344700.0,863500.0,Lifestyle,MAPPED,instagram,december,2022
400,prillylatuconsina96,Prilly Latuconsina,Cinema & Actors/actresses,Music,50400000.0,Indonesia,117900.0,166100.0,Entertainment,MAPPED,instagram,december,2022
401,lestykejora,Lestikejora,Music,,26900000.0,Indonesia,240800.0,312500.0,Music,MAPPED,instagram,december,2022
402,lomon991111,Lomon 991111,,,5900000.0,India,1200000.0,1400000.0,,,instagram,december,2022
403,ananyapanday,Ananya 💛💫,Cinema & Actors/actresses,,24100000.0,India,301500.0,343900.0,Entertainment,MAPPED,instagram,december,2022
404,lucaspaqueta,Lucas Paquetá,Sports with a ball,Family,8900000.0,Brazil,544700.0,936900.0,Sports,MAPPED,instagram,december,2022
405,rizkybillar,Muhammad Rizky Billar,Shows,Beauty,12700000.0,Indonesia,509900.0,660500.0,Entertainment,MAPPED,instagram,december,2022
