handle_instagram,name_instagram,category_1,category_2,followers,audience_country,engagement_auth,engagement_avg
greeicy,Greeicy,Shows,Cinema & Actors/actresses,21100000,Colombia,776200,1000000.0
grefg_official,TheGrefg,Computers & Gadgets,Machinery & Technologies,7300000,Spain,285400,343500.0
grisha_eric,Grisha Eric,,,12500000,Turkey,172100,248600.0
gucci,,Accessories & Jewellery,Clothing & Outfits,48700000,United States,33100,45100.0
gucci,,Accessories & Jewellery,Clothing & Outfits,48700000,United States,33100,45100.0
gururandhawa,Guru Randhawa,Music,,32800000,India,161200,197100.0
gusttavolima,🏛 Gusttavo Lima 🏛,Music,,43600000,Brazil,95400,157600.0
hadise,Hadise,Music,Shows,13800000,Turkey,183900,214400.0
haechanahceah,HAECHAN,,,3500000,,2100000,
haifawehbe,Haifa Wehbe,Music,,10000000,Iraq,251400,368100.0
haileesteinfeld,hailee steinfeld,Cinema & Actors/actresses,,19000000,United States,794600,1000000.0
haileybieber,Hailey Rhode Baldwin Bieber,Lifestyle,Modeling,45500000,United States,900800,1200000.0
hakkiakdenizz,hakki akdeniz,Business & Careers,,22500000,Russia,169500,245800.0
handemiyy,Hande Erçel,Cinema & Actors/actresses,,28300000,Turkey,1600000,2100000.0
hannahelzahed,Hannah El-Zahed,Cinema & Actors/actresses,,17700000,Egypt,136200,169100.0
hannahstocking,Hannah Stocking,Modeling,,22000000,United States,483800,686900.0
hardikpandya93,Hardik Himanshu Pandya,Sports with a ball,,21600000,India,573700,718700.0
harrystyles,,Music,Fashion,45900000,United States,2200000,3000000.0
harshbeniwal,Harsh KADAMBADI Beniwal,Humor & Fun & Happiness,Shows,5500000,India,370600,482700.0
hasan_yazdani73,hasan yazdani73,Extreme Sports & Outdoor activity,Fitness & Gym,2700000,Iran,506700,917000.0
hassan_reyvandi,hasan reyvandi حسن ریوندی,Cinema & Actors/actresses,Humor & Fun & Happiness,19400000,Iran,304600,420200.0
hazalkaya,Hazal Kaya,Cinema & Actors/actresses,Lifestyle,7100000,Turkey,310900,368700.0
hazardeden_10,Eden Hazard,Sports with a ball,,27000000,Spain,677100,1100000.0
hegdepooja,Pooja Hegde,Cinema & Actors/actresses,,20600000,India,926400,1100000.0
henrycavill,Henry Cavill,Cinema & Actors/actresses,,21200000,Brazil,815600,992100.0
heybiblee,이성경,Modeling,,14300000,Indonesia,996100,1300000.0
hi_high_hiy,황인엽,Cinema & Actors/actresses,,14100000,South Korea,2100000,2500000.0
hi_songjoongki,송중기 songjoongki official,Cinema & Actors/actresses,,9300000,Indonesia,1900000,2600000.0
hi_sseulgi,슬기 Seulgi,Modeling,,12500000,Indonesia,738000,925400.0
hilaryduff,Hilary Duff,Cinema & Actors/actresses,,21800000,United States,84200,107100.0
hm_son7,Son HeungMin(손흥민)🇰🇷,,,7300000,Brazil,420400,684300.0
holyhaein,정해인,,,10200000,Indonesia,1400000,1700000.0
hoooooyeony,Hoyeon,Lifestyle,,23500000,South Korea,1600000,2100000.0
houseofhighlights,House of Highlights,Sports with a ball,,34600000,United States,121500,223100.0
hrithikroshan,Hrithik Roshan,Cinema & Actors/actresses,,43200000,India,1000000,1300000.0
hshq,Harry Styles HQ,Music,Cinema & Actors/actresses,6300000,United States,487000,856400.0
huddy,Chase Hudson,Lifestyle,Art/Artists,11800000,United States,177900,244800.0
humansofny,Humans of New York,Lifestyle,Photography,12100000,United States,166500,196700.0
hunterschafer,Hunter,,,7300000,United States,741700,1200000.0
hyeri_0609,혜리,Music,,7200000,South Korea,338100,407000.0
hyunah_aa,Hyun Ah,Music,,18000000,South Korea,349900,414200.0
i_m_hendery,Hi👉🏻im Hendery👈🏻,,,6200000,United States,905600,1200000.0
i_nivethathomas,Nivetha Thomas,Cinema & Actors/actresses,,6100000,India,330900,374300.0
i_nivethathomas,Nivetha Thomas,Cinema & Actors/actresses,,6100000,India,330900,374300.0
iambeckyg,Becky G,Music,,32700000,Mexico,258000,311200.0
iamcardib,Cardi B,Music,Fashion,135600000,United States,1200000,1700000.0
iamferv,fer,Lifestyle,Art/Artists,9800000,Mexico,1000000,1500000.0
iamhalsey,halsey,Music,,30000000,United States,442800,581300.0
iammichelemorroneofficial,Michele Morrone,Lifestyle,Cinema & Actors/actresses,14800000,Brazil,761600,1100000.0
iampauloandre,Paulo André 🏁,Lifestyle,,10000000,Brazil,68000,239700.0
iamsrk,Shah Rukh Khan,Cinema & Actors/actresses,,29900000,India,1000000,1300000.0
iamzlatanibrahimovic,Zlatan Ibrahimović,Sports with a ball,,54300000,Italy,675700,1000000.0
iansomerhalder,iansomerhalder,Cinema & Actors/actresses,,23000000,United States,536200,800700.0
ibaillanos,Ibai,Art/Artists,,7500000,Spain,787200,1100000.0
ignaciaa_antonia,Ignacia Hernandez👑,Lifestyle,,9700000,Mexico,210700,273000.0
ikercasillas,Iker Casillas,Sports with a ball,,18200000,Spain,119000,164300.0
imcryansp,TUBARAO GIGANTE 🦈,,,3800000,Brazil,254600,605400.0
imhyoseop,안효섭,Lifestyle,,8400000,Indonesia,2200000,2600000.0
imouniroy,mon,Cinema & Actors/actresses,,23700000,India,142600,172600.0
imsebastianstan,Sebastian Stan,Shows,Cinema & Actors/actresses,9400000,United States,918800,1100000.0
inanna,Inanna,Shows,,14600000,United States,103300,155900.0
indiancricketteam,Team India,Sports with a ball,,24400000,India,249100,291100.0
indiaroyale,India,Lifestyle,,4300000,United States,240900,714900.0
instagram,Instagram,Photography,,523300000,India,294300,356500.0
iqbaal.e,iqbaal ramadhan,Cinema & Actors/actresses,,13500000,Indonesia,121100,207400.0
irinashayk,irinashayk,Modeling,,18700000,Russia,132500,183000.0
isaias,Isaías,Shows,,9200000,Brazil,72800,239400.0
iscoalarcon,Isco Alarcon Suarez,Sports with a ball,,24700000,Spain,215100,309400.0
itsmarziapie,Marzia Kjellberg,Beauty,Lifestyle,8300000,United States,630900,737500.0
itzy.all.in.us,ITZY,Music,,17000000,Indonesia,954900,1200000.0
ivetesangalo,Veveta,Music,Shows,34600000,Brazil,57000,74400.0
iynemliarasbulut,Aras Bulut İynemli,Cinema & Actors/actresses,Lifestyle,10300000,Turkey,546700,763400.0
j.m,JIMIN,,,37000000,,11800000,
jackblack,Jack Black,Cinema & Actors/actresses,,8800000,United States,198000,258200.0
jackblack,Jack Black,Cinema & Actors/actresses,,8800000,United States,198000,258200.0
jackharlow,Jack Harlow,Lifestyle,Music,6700000,United States,361900,675800.0
jacksepticeye,Jacksepticeye,Computers & Gadgets,Machinery & Technologies,7900000,United States,231900,269000.0
jacksonwang852g7,Jackson Wang,Music,,28700000,China,1200000,1400000.0
jacquelinef143,Jacqueline Fernandez,Cinema & Actors/actresses,,61800000,India,254300,309600.0
jadenhossler,jxdn,Music,,4600000,United States,463300,714900.0
jadepicon,JADE 🌪,Modeling,Fashion,20600000,Brazil,194900,429300.0
jadethirlwall,jade amelia thirlwall,Music,Art/Artists,9200000,United States,197700,259100.0
jailyneojeda,Jailyne Ojeda Ochoa,Modeling,Lifestyle,14200000,United States,304200,421400.0
jairmessiasbolsonaro,Jair M. Bolsonaro,Finance & Economics,Business & Careers,20100000,Brazil,163700,229700.0
jamescharles,James Charles,Beauty,,22900000,United States,382000,560900.0
jamesrodriguez10,James Rodríguez,Sports with a ball,,49700000,Colombia,292200,443900.0
jamorant,12 🥷🏽🖤,Lifestyle,Sports with a ball,7200000,United States,259100,419100.0
janhvikapoor,Janhvi Kapoor,Lifestyle,Cinema & Actors/actresses,17500000,India,708400,844500.0
jannatzubair29,Jannat Zubair Rahmani,Cinema & Actors/actresses,,43100000,India,617300,753400.0
jasonstatham,Jason Statham,Cinema & Actors/actresses,,30600000,Iran,549600,810000.0
jaspritb1,jasprit bumrah,Lifestyle,,9800000,India,331600,380800.0
jaybnow.hr,LIM JAE BEOM,Music,,6900000,Brazil,521700,684100.0
jbalvin,J Balvin,Music,,52800000,Mexico,241800,317000.0
jbayleaf,JONATHAN BAILEY,,,3400000,United Kingdom,448600,623500.0
jennaortega,Jenna Ortega,Cinema & Actors/actresses,Lifestyle,8100000,United States,530000,755100.0
jennierubyjane,J,Music,,67600000,Indonesia,7000000,8400000.0
jennifer.garner,Jennifer Garner,Cinema & Actors/actresses,,13300000,United States,198500,225200.0
jenniferaniston,Jennifer Aniston,Cinema & Actors/actresses,,40700000,Brazil,624800,907700.0
jensenackles,Jensen Ackles,Cinema & Actors/actresses,,9400000,United States,317900,413900.0
jeonghaniyoo_n,윤정한,,,2900000,Iran,823100,1000000.0
jeremyrenner,Jeremy Renner,Shows,Cinema & Actors/actresses,17700000,United States,114200,137300.0
jeromepolin,Jerome Polin Sijabat ジェローム,Education,Humor & Fun & Happiness,6900000,Indonesia,435100,637500.0
jessica.syj,Jessica Jung,Modeling,Beauty,10600000,Indonesia,173800,212500.0
jessicah_o,Jessi / 제시,Music,,11800000,United States,928800,1200000.0
jessicajane99,Jessica Jane,Lifestyle,,6000000,Indonesia,408800,538900.0
jessnolimit,Jess No Limit,Shows,,7300000,Indonesia,532200,637900.0
jharden13,James Harden,Sports with a ball,,11600000,United States,122200,209900.0
jhope_bighitentertainment,J-HOPE (제이홉) Updates,Lifestyle,,8000000,Brazil,1100000,1200000.0
jichangwook,지창욱,Cinema & Actors/actresses,,20500000,Indonesia,832800,1100000.0
jimena.jimenezr,Jimena,,,5800000,Mexico,580100,837900.0
jimin_bighitentertainment,JIMIN (박지민) Updates,Lifestyle,,8900000,Indonesia,754700,836600.0
jin,Jin of BTS,,,36600000,United States,9300000,9300000.0
jin_bighitentertainment,JIN (김석진) Updates,Lifestyle,,8300000,Indonesia,685700,779300.0
jinyoung_0922jy,박진영,Music,,9800000,Indonesia,712700,943600.0
jlo,Jennifer Lopez,Music,Cinema & Actors/actresses,215500000,United States,700000,896200.0
joaogomescantor,João Gomes 🎙,Family,Music,12600000,Brazil,133900,366800.0
joaoguilherme,J҉O҉T҉I҉N҉H҉A҉,Music,Cinema & Actors/actresses,16000000,Brazil,157300,306500.0
joeyking,Joey King,Music,Cinema & Actors/actresses,19000000,Brazil,262300,374400.0
johnnydepp,Johnny Depp,Cinema & Actors/actresses,,26200000,India,2300000,3100000.0
johnnyjsuh,Johnny Suh,Lifestyle,Music,8600000,Indonesia,1300000,1600000.0
jojotodynho,JoJo,Music,,22500000,Brazil,83700,136800.0
jokowi,Joko Widodo,Finance & Economics,,47100000,Indonesia,109500,138600.0
jongsuk0206,이종석,Cinema & Actors/actresses,,22900000,Indonesia,1800000,2400000.0
jordialbaoficial,Jordi Alba,Sports with a ball,,14400000,Spain,128100,185200.0
jorgelopez_as,Jorge Lopez,Cinema & Actors/actresses,,9600000,Brazil,161000,264300.0
joshrichards,Josh Richards,Shows,Modeling,6900000,United States,225100,315800.0
joshu_acoustic,Joshua Hong,Music,,4200000,,1000000,
juandediospantoja,JD PANTOJA 🇲🇽,Music,Art/Artists,22200000,Mexico,548600,625400.0
juanpazurita,Juanpa Zurita,Cinema & Actors/actresses,,29700000,Mexico,127200,182000.0
juki_lop,JukiLop,Shows,Family,9400000,Mexico,313600,364600.0
julesleblanc,julianna,Music,Shows,9700000,United States,420200,608300.0
juliette,Juliette,Cinema & Actors/actresses,,33800000,Brazil,178100,282100.0
juliopfernandez,J U L I O   P E Ñ A   F. D E Z,,,3500000,Brazil,614900,782500.0
jungkook_bighitentertainment,JUNGKOOK (전정국) Updates,Management & Marketing,Music,9600000,Brazil,660100,749000.0
jungkook.97,전 정국 이올시다,Music,,41800000,,4900000,
justinbieber,Justin Bieber,Music,,244000000,India,758600,1100000.0
juventus,Juventus,Sports with a ball,,53900000,India,52000,77700.0
jy_piece,정연 (JEONGYEON),,,2400000,,1200000,
k.mbappe,Kylian Mbappé,Sports with a ball,,72100000,France,2100000,3000000.0
kajalaggarwalofficial,Kajal A Kitchlu,Cinema & Actors/actresses,,23000000,India,522900,632900.0
kajol,Kajol Devgan,Cinema & Actors/actresses,,12600000,India,134500,166100.0
kaka,Kaká,Sports with a ball,,18600000,Brazil,89300,145600.0
kaliuchis,,Music,,3900000,United States,408100,704400.0
kanik4kapoor,Kanika Kapoor,Shows,Lifestyle,10600000,India,214900,257100.0
kapilsharma,Kapil Sharma,Cinema & Actors/actresses,Shows,41700000,India,293400,332900.0
kareenakapoorkhan,Kareena Kapoor Khan,Lifestyle,Cinema & Actors/actresses,9300000,India,211700,264100.0
karelyruiz,Karely Ruiz,Lifestyle,,5800000,Mexico,656000,823600.0
karimbenzema,Karim Benzema,Sports with a ball,,55300000,France,743200,1100000.0
karljacobs,Karl Jacobs,,,4100000,United States,645400,840600.0
karna.val,🖤Valentina🖤,Lifestyle,,7300000,Russia,455900,532500.0
karolg,KAROL G,Music,,54100000,Mexico,2500000,3000000.0
karrrambaby,Карина KARRRAMBABY КАрМАн БэБИ,Lifestyle,,4000000,Russia,532600,590800.0
kartikaaryan,KARTIK AARYAN,Cinema & Actors/actresses,,25200000,India,389900,484600.0
kashikakapoor09,Kashika Kapoor,,,8100000,Indonesia,274000,295200.0
kashikakapoor09,Kashika Kapoor,,,8100000,Indonesia,271600,292600.0
katherinelangford,KATHERINE LANGFORD,Cinema & Actors/actresses,,27800000,India,172300,247000.0
katrinakaif,Katrina Kaif,Beauty,,65400000,India,1900000,2100000.0
katyperry,KATY PERRY,Music,,165500000,Brazil,129000,168800.0
kaylanicolejones,,Shows,,7400000,United States,144100,304800.0
kaylanicolejones,,Shows,,7400000,United States,144100,304800.0
keerthysureshofficial,Keerthy Suresh,Fashion,Cinema & Actors/actresses,13200000,India,428300,489400.0
kellyrowland,Kelly Rowland,Music,Cinema & Actors/actresses,13300000,United States,153600,211200.0
kendalljenner,Kendall,Modeling,Fashion,244700000,United States,2500000,4000000.0
keniaos,Kenia Os,Music,,13500000,Mexico,705700,918500.0
kentooyamazaki,山﨑賢人,Cinema & Actors/actresses,,5000000,Japan,623100,724500.0
kenzie,kenzie ♡,Art/Artists,,14900000,United States,155700,236700.0
kevindebruyne,Kevin De Bruyne,Sports with a ball,,18000000,United Kingdom,322400,499500.0
kevinhart4real,Kevin Hart,Cinema & Actors/actresses,,147300000,United States,46800,55800.0
khabib_nurmagomedov,Хабиб Нурмагомедов,Fitness & Gym,,33500000,Russia,119800,168600.0
khaby00,Khaby Lame,Sports with a ball,,78300000,Iran,3500000,5300000.0
khloekardashian,Khloé Kardashian,Clothing & Outfits,Lifestyle,256500000,United States,604300,751700.0
kiaraaliaadvani,KIARA,Cinema & Actors/actresses,,23800000,India,555500,630300.0
kikakim,Kristina Kim,Lifestyle,,6900000,Kazakhstan,311700,412400.0
kimberly.loaiza,KIM LOAIZA 🖤,Clothing & Outfits,Lifestyle,35000000,Mexico,1300000,1600000.0
kimjuncotton,SUHO,Lifestyle,,10200000,Indonesia,889700,1100000.0
kimkardashian,,Fashion,Beauty,320500000,United States,724000,1100000.0
kingarturo23oficial,Arturo Vidal,Sports with a ball,,17300000,Italy,81700,132900.0
kingbach,King Bach,Music,Art/Artists,22700000,United States,141900,283600.0
kingjames,👑,Sports with a ball,,125700000,United States,776000,1300000.0
kit.connor,Kit Connor,Cinema & Actors/actresses,,4100000,United States,377800,626100.0
kittychicha,NANNO | KITTYCHICHA AMATAYAKUL,Lifestyle,,4200000,Philippines,654700,794100.0
kjapa,KJ Apa,Cinema & Actors/actresses,,18900000,United States,541600,773000.0
klaythompson,Klay Thompson,Sports with a ball,Lifestyle,12800000,United States,179100,260300.0
klrahul,KL Rahul👑,Sports with a ball,,12800000,India,824400,1100000.0
kourtneykardash,Kourtney Kardashian Barker ❤️‍🔥,Lifestyle,,185300000,United States,997300,1400000.0
krisjenner,Kris Jenner,Shows,Beauty,48800000,United States,128600,195200.0
krithi.shetty_official,Krithi Shetty,,,3400000,India,531100,628000.0
kritisanon,Kriti,Modeling,,49500000,India,348700,407700.0
ksi,KSI,Music,,11500000,United Kingdom,545900,766300.0
kto_takaya,Liza Miller,Family,,7000000,Russia,303500,374400.0
kun11xd,KUN,Lifestyle,,6700000,Indonesia,818800,1000000.0
kunaguero,Sergio Leonel Agüero,Sports with a ball,,23400000,Argentina,332200,575000.0
kyliejenner,Kylie 🤍,Fashion,Modeling,352700000,United States,2800000,4600000.0
kyrieirving,K.A.I Hélà,Sports with a ball,,16800000,United States,165200,250700.0
l7nnon,L7,Lifestyle,Shows,7800000,Brazil,168500,400600.0
lacasadepapel,La Casa de Papel,Shows,Cinema & Actors/actresses,12900000,Brazil,304000,457100.0
lacikaysomers,Laci Kay Somers,Music,Modeling,12200000,United States,167400,287200.0
ladygaga,Lady Gaga,Music,Cinema & Actors/actresses,53000000,United States,421500,590600.0
lalala_lfamily,Lfamily,,,2200000,Thailand,801700,959400.0
lalalalisa_m,LISA,Music,,79200000,Indonesia,7300000,8400000.0
lamborghini,Lamborghini,Luxury,Cars & Motorbikes,32000000,India,137000,187500.0
lanarhoades,Lana Rhoades,Lifestyle,Modeling,16800000,United States,1000000,1700000.0
larasilva,Lara Silva 💦,Shows,Adult content,17400000,Brazil,525300,810100.0
larissamanoela,Larissa Manoela,Cinema & Actors/actresses,,45900000,Brazil,72100,121900.0
larissamanoela,Larissa Manoela,Cinema & Actors/actresses,,45900000,Brazil,49900,83800.0
larray,larri,Lifestyle,Modeling,6800000,United States,301200,440800.0
latto777,BIG LATTO🎰,Music,,9400000,United States,156600,319800.0
laurenjauregui,Lauren Jauregui,Music,,10600000,United States,140000,207200.0
laurenjauregui,Lauren Jauregui,Music,,10600000,United States,140000,207200.0
laurenlondon,Lauren London,Cinema & Actors/actresses,Modeling,9800000,United States,138600,237100.0
layzhang,Lay Zhang,Music,,14200000,Indonesia,810600,862400.0
ldh_sky,이도현,,,5600000,Indonesia,819800,1100000.0
leaelui,Lea Elui G,Modeling,Lifestyle,11600000,India,395500,664500.0
leedongwook_official,이동욱 (Official_Instagram),Cinema & Actors/actresses,,14500000,Indonesia,1000000,1400000.0
leeyoum262,이유미,Photography,Humor & Fun & Happiness,7800000,South Korea,352800,432200.0
leighannepinnock,Leigh-Anne Pinnock,Music,,8900000,Brazil,193200,274800.0
leomessi,Leo Messi,Sports with a ball,Family,341700000,Argentina,4700000,6300000.0
leonardodicaprio,Leonardo DiCaprio,Cinema & Actors/actresses,,54000000,United States,100200,125700.0
leonardodicaprio,Leonardo DiCaprio,Cinema & Actors/actresses,,54000000,United States,87100,111400.0
ler_chek,Валерия Чекалина,Lifestyle,Beauty,10400000,Russia,360400,465800.0
lestykejora,Lestikejora,Music,,25600000,Indonesia,330000,426600.0
letthelordbewithyou,Scott Disick,Lifestyle,Family,27200000,United States,73900,112700.0
lewishamilton,Lewis Hamilton,Racing Sports,,28700000,Brazil,538200,773400.0
lexibrookerivera,Lexi Rivera,Shows,Humor & Fun & Happiness,8500000,United States,761000,953000.0
liamhemsworth,Liam Hemsworth,Cinema & Actors/actresses,,13100000,United States,274100,389800.0
liampayne,Liam Payne,Music,,24300000,United States,348600,486700.0
lilbaby,WHAM,Music,,19600000,United States,389300,718800.0
lildurk,DURKIOOO,Music,Art/Artists,13700000,United States,230900,653100.0
lilnasx,MONTERO,Music,,12500000,United States,376600,630200.0
liluzivert,,Music,,15900000,United States,632700,1200000.0
liluzivert,,Music,,15900000,United States,632700,1200000.0
lilyjcollins,Lily Collins,Cinema & Actors/actresses,,27000000,United States,186700,277600.0
lilyrose_depp,Lily-Rose Depp,Modeling,,6300000,United States,360800,567300.0
litkillah,MAWZ💬,Music,,7900000,Argentina,498400,657400.0
littlemix,Little Mix,Music,,15900000,Brazil,137300,184600.0
liverpoolfc,Liverpool Football Club,Sports with a ball,,39400000,United Kingdom,127300,176900.0
lizakoshy,Liza Koshy,Cinema & Actors/actresses,,20000000,United States,144300,191300.0
lizasoberano,Liza Soberano,Beauty,Cinema & Actors/actresses,17300000,Philippines,466900,556700.0
lizgillz,Elizabeth Gillies,Music,Cinema & Actors/actresses,14000000,Mexico,462100,669400.0
lizzobeeating,Lizzo,Music,Lifestyle,12700000,United States,192300,269600.0
lm_____ltm,TAEMIN,,,5400000,Indonesia,940700,1200000.0
loganpaul,Logan Paul,Fitness & Gym,,23200000,United States,123700,166300.0
loreimprota,Lorena Improta,Art/Artists,,13300000,Brazil,98800,229300.0
loud_babi,Bárbara Passos,Lifestyle,,9100000,Brazil,186000,299800.0
loud_victor,Victor Augusto,Lifestyle,Sports with a ball,10600000,Brazil,336400,428400.0
louispartridge_,Louis💐,Cinema & Actors/actresses,,7600000,United States,883600,1300000.0
louist91,Louis Tomlinson,Music,,18500000,Brazil,817200,1100000.0
lucas_lira,Lucas Lira,Humor & Fun & Happiness,Lifestyle,5800000,Brazil,269500,394600.0
lucasranngel,LUCAS RANGEL,Lifestyle,,19700000,Brazil,234500,520000.0
lucasvazquez91,Lucas Vázquez,Sports with a ball,,14400000,Spain,171900,253400.0
lucyhale,Lucy Hale,Cinema & Actors/actresses,,24400000,United States,121100,159500.0
ludmilla,Ludmilla,Music,,27300000,Brazil,99500,147400.0
luissuarez9,Luis Suarez,Sports with a ball,,43800000,Brazil,263400,397000.0
lukadoncic,Luka Doncic,Sports with a ball,,7000000,United States,203700,304400.0
lukamodric10,Luka Modric,Sports with a ball,,24200000,Spain,625000,914300.0
luvadepedreiro,Iran Ferreira,Family,Sports with a ball,14400000,Brazil,331700,752100.0
m_kayoung,MUN KA YOUNG,Cinema & Actors/actresses,,8200000,Indonesia,864400,1200000.0
m.by__sana,사나 (SANA),,,2800000,,1500000,
m10_official,Mesut Özil,Sports with a ball,,24500000,Turkey,642000,903800.0
machinegunkelly,the Blonde Don,Music,,9600000,United States,215400,346500.0
maddieziegler,maddie,Cinema & Actors/actresses,Modeling,13900000,United States,139200,208300.0
madelame,Madelaine Petsch,Cinema & Actors/actresses,,25500000,Russia,1100000,1600000.0
madelyncline,Maddie,,,12600000,United States,1700000,2400000.0
madhuridixitnene,Madhuri Dixit,Music,Cinema & Actors/actresses,32000000,India,230400,266500.0
madisonbaileybabe,Maddie Baby,Lifestyle,,6700000,United States,361600,676900.0
madisonbeer,Madison Beer,Music,,31600000,United States,498000,744000.0
madonna,Madonna,Music,,18300000,Italy,99300,148100.0
maisa,+A,Music,,43600000,Brazil,102700,138200.0
maluma,MALUMA,Music,,62600000,Italy,420800,645700.0
malutrevejo,Malú 🦋 222🎤,Music,,11500000,United States,267800,480500.0
malutrevejo,Malú 🦋 222🎤,Music,,11500000,United States,254800,456800.0
manchesterunited,Manchester United,Sports with a ball,,58700000,United Kingdom,136000,217900.0
mancity,Manchester City,Sports with a ball,,32800000,United Kingdom,92400,126000.0
maneskinofficial,Måneskin,Lifestyle,,6100000,Italy,384600,542900.0
manurios,Manu Rios,Shows,,11100000,Mexico,1000000,1700000.0
manurios,Manu Rios,Shows,,11100000,Mexico,981700,1700000.0
marcelotwelve,Marcelo Vieira,Sports with a ball,,57000000,Spain,518800,773000.0
marcoasensio10,Marco Asensio,Sports with a ball,,14400000,Spain,167900,257600.0
marcusrashford,Marcus Rashford MBE,Sports with a ball,,12700000,United Kingdom,224800,356400.0
mariaalice,Maria Alice,,,7300000,Brazil,665700,1400000.0
mariabecerra,Maria Becerra,Music,,9600000,Argentina,490800,1200000.0
mariapedraza_,María Pedraza,Cinema & Actors/actresses,,12000000,Spain,159500,211000.0
marimaria,Mari Maria,Beauty,,20100000,Brazil,117500,225000.0
marinaruybarbosa,Marina Ruy Barbosa,Cinema & Actors/actresses,,40500000,Brazil,307100,467600.0
markiplier,Markiplier,Shows,,10300000,United States,353800,403400.0
markruffalo,Mark Ruffalo,Cinema & Actors/actresses,,20900000,Brazil,108200,136800.0
marktuan,Mark Tuan,Music,Cinema & Actors/actresses,12700000,Thailand,769100,1000000.0
marshmello,marshmello,Music,,29400000,,601300,
marshmello,marshmello,,,29400000,,536800,
martinpdisalvo,Coscu,,,3600000,Argentina,421100,637700.0
marvel,Marvel Entertainment,Cinema & Actors/actresses,Comics & sketches,65200000,United States,77000,89000.0
marvelstudios,Marvel Studios,Cinema & Actors/actresses,Comics & sketches,37400000,India,126900,142100.0
mathildtantot,Mathilde,Lifestyle,Modeling,10200000,United States,531600,804600.0
mattyperry4,Matthew Perry,,,7900000,Brazil,413500,564400.0
maudeapatow,Maude Apatow,Lifestyle,Cinema & Actors/actresses,4900000,United States,471000,779600.0
maudyayunda,Maudy Ayunda,Music,,16800000,Indonesia,412100,607700.0
maxverstappen1,Max Verstappen,Racing Sports,,8800000,United States,306000,402300.0
mclomaofficial,Paloma Santos 🐟,Music,,8000000,Brazil,246400,421900.0
meganfox,Megan Fox,Cinema & Actors/actresses,,20300000,United States,1000000,1700000.0
melissamelmaia,MEL MAIA 🍯,Music,,12500000,Brazil,194800,353200.0
melo,LaMelo Ball,Sports with a ball,,8900000,United States,265600,539600.0
memezar,MEMEZAR • Comedy and Culture,Cinema & Actors/actresses,,23500000,United States,91600,137300.0
memphisdepay,Memphis Depay,Sports with a ball,,14900000,France,104400,185200.0
miakhalifa,Mia K.,Fitness & Gym,Lifestyle,27800000,India,849800,1400000.0
miamalkova,Mia Malkova,Cinema & Actors/actresses,,10900000,India,205400,279100.0
michelleobama,Michelle Obama,Finance & Economics,Business & Careers,49900000,United States,121100,132900.0
miguel.g.herran,Miguel Herrán,Cinema & Actors/actresses,,14100000,Brazil,387700,583700.0
mileycyrus,Miley Cyrus,Music,,176600000,United States,552800,750900.0
milliebobbybrown,Millie Bobby Brown,Cinema & Actors/actresses,,52300000,Brazil,2600000,3300000.0
min9yu_k,김민규,Music,,6700000,Indonesia,1200000,1400000.0
mina_sr_my,미나 (MINA),,,3100000,,1500000,
mingue.k,김민규,Shows,,5600000,Indonesia,1100000,1400000.0
mirandacosgrove,Miranda Cosgrove,Music,Cinema & Actors/actresses,9900000,Brazil,171800,268300.0
mirella,BAD MI ⚡️ MIRELLA,Music,,27200000,Brazil,111400,236100.0
missasinfonia,MissaSinfonia,,,5300000,Mexico,687500,770700.0
mo.on_air,TAEIL,,,4800000,Indonesia,1300000,1500000.0
mohanshakti,Shakti Mohan,Art/Artists,Cinema & Actors/actresses,16100000,India,225400,270000.0
momo,모모 (MOMO),Modeling,,6600000,Turkey,1900000,2800000.0
momo,모모 (MOMO),,,6600000,Turkey,1900000,2800000.0
mont.pantoja,MONT,,,11900000,Mexico,724400,862000.0
mosalah,Mohamed Salah,Sports with a ball,,51600000,Egypt,1300000,1800000.0
mr_faisu_07,FAISAL SHAIKH,Modeling,Cinema & Actors/actresses,27700000,India,381100,486800.0
mrancelotti,Carlo Ancelotti,Sports with a ball,,8300000,Italy,268500,418600.0
mrbeast,MrBeast,Shows,Humor & Fun & Happiness,18800000,United States,1300000,1700000.0
ms_puiyi,Siew Pui Yi 🤍,Adult content,,18700000,United States,249700,320500.0
ms.sethii,Shilpa Sethi,,,6500000,United States,246700,373300.0
mterstegen1,Marc ter Stegen,Sports with a ball,,13500000,Spain,186400,280200.0
na.jaemin0813,JAEMIN,,,9700000,Indonesia,1900000,2300000.0
nabilla,Nabilla Vergara ✨,Beauty,,7600000,France,234700,323200.0
nadin_serovski,Nadin Serovski,Family,Lifestyle,9400000,Russia,471300,648700.0
nadine,小宮希美 🤍,Music,Shows,11400000,Philippines,305300,339100.0
nadine.nassib.njeim,Nadine Nassib Njeim,Cinema & Actors/actresses,Modeling,15000000,Iraq,118700,169200.0
naileadevora,nai,Shows,,5200000,United States,583400,861900.0
najwashihab,Najwa Shihab,Shows,,21600000,Indonesia,75400,104500.0
nancyajram,Nancy Ajram,Music,,33000000,Iraq,117000,150800.0
narendramodi,Narendra Modi,Finance & Economics,Business & Careers,68100000,India,1200000,1400000.0
narins_beauty,••Narins Beauty••,Lifestyle,,8900000,Syria,360100,439200.0
nasa,NASA,Science,Photography,78300000,India,612100,734300.0
