handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg
druskitv,DRUSKI,3500000.0,2800000.0,519500.0,3000.0,9400.0
dualipaofficial,Dua Lipa,8400000.0,3100000.0,178700.0,1600.0,2000.0
dudamaryah,dudamaryah,5200000.0,2200000.0,367700.0,1400.0,1300.0
dudamaryah,dudamaryah,5200000.0,2200000.0,367700.0,1400.0,1300.0
duncanyounot,Duncan Joseph,4300000.0,720500.0,246400.0,2900.0,1900.0
dunkmvp,DunkMVP,3300000.0,4600000.0,698700.0,1300.0,2200.0
dxbxd,Saad Abdullah,2400000.0,1800000.0,219100.0,2200.0,1500.0
dylanmulvaney,Dylan Mulvaney,5400000.0,3100000.0,700000.0,7300.0,1800.0
dylanpage.ning,Dylan Page,2800000.0,2200000.0,344300.0,5200.0,2600.0
earlthejackass,Earl,84500.0,2900000.0,359200.0,3800.0,14100.0
editnessbarrett,NESS,157300.0,1500000.0,275700.0,1800.0,845.0
edpeople,Ed People,1400000.0,1800000.0,278100.0,1800.0,1500.0
edsheeran,Ed Sheeran,11400000.0,1800000.0,166900.0,2000.0,672.0
eduardbaka,Eduard,1500000.0,1400000.0,233600.0,1900.0,978.0
edwinmendozza,𝖊𝖉𝖜𝖎𝖓,14700000.0,3200000.0,514299.99999999994,1100.0,249.0
eggrollfish,7aizagatha,56500.0,2200000.0,438300.0,3200.0,7900.0
ehbeefamily,Eh Bee Family,11400000.0,3400000.0,344500.0,1300.0,761.0
ehlija,Eh Lija,3900000.0,3100000.0,402700.0,1800.0,1700.0
el_chicanero,El_chicanero,2700000.0,2500000.0,227100.0,1500.0,7000.0
el_creador_del_sex3,HOLAS🕺,31200.0,1300000.0,134000.0,1700.0,3100.0
el.pollofritoxd,por fin a alguien,89200.0,1200000.0,220800.0,4100.0,8900.0
elchimbatv,EL CHIMBA,1700000.0,3400000.0,277900.0,1200.0,3700.0
elinameng,elina meng,2100000.0,4200000.0,558400.0,886.0,598.0
elliotforbes,Elliot Forbes,8300000.000000001,3500000.0,292200.0,628.0,311.0
elmercanchi,Que chimba sog,1500000.0,4200000.0,362900.0,2400.0,7200.0
elongggg,ELONGGGG,2000000.0,2100000.0,339800.0,2000.0,589.0
elrodcontreras,ROD🫠,41100000.0,3600000.0,496700.0,3800.0,622.0
elysemyers,Elyse Myers,5100000.0,1500000.0,172700.0,2700.0,1700.0
em.ire,irene,259500.0,1200000.0,211600.0,2200.0,2800.0
emiliamernes,Emilia Mernes,3900000.0,10800000.0,1600000.0,3900.0,2700.0
emillyvickof,Emilly Vick,10300000.0,4400000.0,354000.0,707.0,638.0
emilmario69,emilmario,7000000.0,5500000.0,199900.0,3700.0,1300.0
emilyfauver,emily&ella,3600000.0,2600000.0,380200.0,730.0,1300.0
