rank,name_youtube,handle_youtube,audience_country,followers,category_1,views_avg,likes_avg,comments_avg,category_2,category_1_unified,category_2_unified,category_primary,if_exist
197,Anuel AA,Anuel AA,Colombia,22700000,Music & Dance,44400000,832600,58200,Animation,Music,Entertainment,Music,1
198,DrossRotzank,DrossRotzank,Mexico,22700000,,2200000,150200,8400,,,,,0
199,The Lallantop,The Lallantop,India,22600000,News & Politics,36900,1000,107,,Info/Business,,Info/Business,1
200,Miss Katy,Miss Katy,Russia,22500000,Video games,1000000,15600,667,,Tech/Gaming,,Tech/Gaming,1
201,Frost Diamond,Frost Diamond,Indonesia,22500000,Music & Dance,488900,35100,1200,Video games,Music,Tech/Gaming,Music,1
202,HUM TV,HumNetwork,Pakistan,22500000,,1600,10,0,,,,,0
203,Like Nastya AE,Like Nastya AE,,22400000,,456200,3000,0,,,,,0
204,WB Kids,WB Kids,,22400000,Movies,92600,559,0,Animation,Entertainment,Entertainment,Entertainment,1
205,The Chainsmokers,THECHAINSMOKERS,United States,22300000,Humor,34800,1700,47,,Entertainment,,Entertainment,1
206,Technical Guruji,Technical Guruji,India,22300000,,178400,10500,1200,,,,,0
207,GMM GRAMMY OFFICIAL,gmmgrammyofficial,Thailand,22300000,Music & Dance,3800,72,3,,Music,,Music,1
208,Venus Movies,VenusMovies,India,22200000,,143600,1200,29,,,,,0
209,Smile Family,Smile Family,,22100000,Movies,78400,719,0,Toys,Entertainment,,Entertainment,1
210,mmoshaya,mmoshaya,Saudi Arabia,22100000,,2000000,33100,2200,,,,,0
211,America's Got Talent,AmericasGotTalent,United States,21900000,Music & Dance,263300,4200,246,Movies,Music,Entertainment,Music,1
212,White Hill Music,WHBBP,India,21900000,Music & Dance,22700,1700,54,,Music,,Music,1
213,Paulo Londra,Paulo Londra,Argentina,21900000,Music & Dance,12500000,682900,24700,,Music,,Music,1
214,Diana and Roma ARA,Diana and Roma ARA,,21900000,,1200000,8200,0,,,,,0
215,TED,TEDtalksDirector,United States,21900000,,47500,1300,162,,,,,0
216,Goldmines Movies,goldmineshindi,India,21700000,,9000,81,5,,,,,0
217,FaZe Rug,oRugrat,United States,21700000,Video games,4100000,106200,7300,Humor,Tech/Gaming,Entertainment,Tech/Gaming,1
218,Peppa Pig Español Latino - Canal Oficial,PeppaLatinoAmericano,,21600000,Toys,624900,3200,0,,,,,0
219,Pen Movies,PenIndiaPvtLimited,India,21600000,Movies,56000,2500,79,Animation,Entertainment,Entertainment,Entertainment,1
220,Enaldinho,TheEnaldinhO,Brazil,21600000,Movies,816100,43800,656,,Entertainment,,Entertainment,1
221,BabyBus - Canciones Infantiles & Cuentos,BabyBus - Canciones Infantiles & Cuentos,,21400000,Movies,478200,2300,0,Animation,Entertainment,Entertainment,Entertainment,1
222,MrBeast en Español,MrBeast en Español,Mexico,21200000,,7100000,265600,10100,,,,,0
223,Like Nastya PRT,Like Nastya PRT,,21200000,,365600,2200,0,,,,,0
224,Juan De Dios Pantoja,Juan De Dios Pantoja,Mexico,21200000,Daily vlogs,4600000,237300,4400,,Lifestyle,,Lifestyle,1
225,SSundee,SSundee,United States,21100000,Video games,1700000,95100,3700,,Tech/Gaming,,Tech/Gaming,1
