rank,handle_instagram,name_instagram,followers,audience_country,engagement_auth,engagement_avg,category_1,category_2,category_1_unified,category_2_unified,category_primary,if_exist
123,pewdiepie,PewDiePie,21800000,United States,1200000,1400000,Computers & Gadgets,,Tech/Gaming,,Tech/Gaming,1
124,madelame,Madelaine Petsch,25200000,Russia,861200,1200000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
125,ronaldinho,Ronaldo de Assis Moreira,67800000,Brazil,256200,445600,Sports with a ball,,Sports,,Sports,1
126,alluarjunonline,Allu Arjun,19100000,India,1300000,1600000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
127,rosalia.vt,LA ROSALÍA,21900000,Spain,1000000,1400000,,,,,,0
128,emrata,Emily Ratajkowski,29600000,United States,629900,1000000,Modeling,,Beauty/Fashion,,Beauty/Fashion,1
129,addisonraee,Addison Rae,40000000,United States,481000,742200,Beauty,,Beauty/Fashion,,Beauty/Fashion,1
130,433,433,51600000,Spain,339400,563900,Sports with a ball,,Sports,,Sports,1
131,katyperry,KATY PERRY,171200000,Brazil,130500,168300,,,,,,0
132,_jeongjaehyun,Jaehyun,12400000,Indonesia,1900000,2300000,,,,,,0
133,madisonbeer,Madison Beer,32400000,United States,588900,879500,,,,,,0
134,marcelotwelve,Marcelo Vieira,58500000,Spain,325700,484200,Sports with a ball,,Sports,,Sports,1
135,phs1116,박형식 / PARKHYUNGSIK,10500000,Indonesia,2200000,2700000,Business & Careers,,Info/Business,,Info/Business,1
136,sergioramos,Sergio Ramos,53100000,Spain,344100,527400,Sports with a ball,,Sports,,Sports,1
137,casemiro,Casemiro,17400000,Brazil,1100000,1600000,Sports with a ball,,Sports,,Sports,1
138,emmachamberlain,emma chamberlain,16100000,United States,1100000,1700000,Lifestyle,Shows,Lifestyle,Entertainment,Lifestyle,1
139,luvadepedreiro,Iran Ferreira,18400000,Brazil,894200,1500000,Family,Sports with a ball,Lifestyle,Sports,Lifestyle,1
140,rohittt_09_,𝐑𝐨𝐡𝐢𝐭 𝐙𝐢𝐧𝐣𝐮𝐫𝐤𝐞 ~ 𝐫𝐞𝐚𝐜𝐭𝐢𝐨𝐧𝐛𝐨𝐢 💫,24100000,India,807500,1100000,Shows,Lifestyle,Entertainment,Lifestyle,Entertainment,1
141,nike,Nike,235700000,United States,89700,116200,Fitness & Gym,Shopping & Retail,Sports,Beauty/Fashion,Sports,1
142,luisitocomunica,Luisillo El Pillo,32400000,Mexico,627100,828500,Humor & Fun & Happiness,Clothing & Outfits,Entertainment,Beauty/Fashion,Entertainment,1
143,miakhalifa,Mia K.,27700000,India,605500,968500,Fitness & Gym,Lifestyle,Sports,Lifestyle,Sports,1
144,theweeknd,The Weeknd,42900000,United States,456600,618700,,,,,,0
145,ladygaga,Lady Gaga,53300000,United States,351000,492300,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
146,varundvn,VarunDhawan,44100000,India,484000,589800,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
147,zefelipecantor,Zé,25000000,Brazil,591400,1000000,,,,,,0
148,manchesterunited,Manchester United,60200000,United Kingdom,265600,425000,Sports with a ball,,Sports,,Sports,1
149,sidhu_moosewala,Sidhu Moosewala (ਮੂਸੇ ਆਲਾ),11200000,India,2000000,2400000,Lifestyle,,Lifestyle,,Lifestyle,1
150,thedeverakonda,Vijay Deverakonda,17500000,India,1200000,1400000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
151,emilia_clarke,,27000000,India,733500,922200,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
152,elrubiuswtf,el rubius WTF,17300000,Mexico,1300000,1400000,Computers & Gadgets,,Tech/Gaming,,Tech/Gaming,1
153,hegdepooja,Pooja Hegde,21300000,India,995700,1100000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
154,vinijr,Vinicius Jr. ⚡️🇧🇷,22300000,Brazil,610100,1100000,Sports with a ball,Lifestyle,Sports,Lifestyle,Sports,1
155,feliciathegoat,"Tyler, The Creator",13200000,United States,1100000,1800000,,,,,,0
156,lewishamilton,Lewis Hamilton,29800000,Brazil,564500,810500,Racing Sports,,Sports,,Sports,1
157,zidane,zidane,33700000,Spain,524200,714000,Sports with a ball,,Sports,,Sports,1
158,natgeo,National Geographic,238300000,United States,78800,100300,Nature & landscapes,Science,Lifestyle,Info/Business,Lifestyle,1
159,madelyncline,Maddie,12600000,United States,1300000,1900000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
160,henrycavill,Henry Cavill,21700000,Brazil,897000,1100000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
161,theestallion,Megan Thee Stallion,29800000,United States,451400,788200,,,,,,0
162,saraalikhan95,Sara Ali Khan,41200000,India,459900,561200,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
163,jacobelordi,Jacob Elordi,13200000,Brazil,1100000,1700000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
164,bizarrap,BZRP,14900000,Argentina,1300000,1500000,,,,,,0
165,leedongwook_official,이동욱 (Official_Instagram),14800000,Indonesia,1200000,1600000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
166,thenameisyash,Yash,11200000,India,1700000,2000000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
167,hrithikroshan,Hrithik Roshan,43900000,India,407500,515700,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
168,kapilsharma,Kapil Sharma,42600000,India,463900,528600,Cinema & Actors/actresses,Shows,Entertainment,Entertainment,Entertainment,1
169,shakira,Shakira,76200000,India,216500,296200,,,,,,0
170,jichangwook,지창욱,21400000,Indonesia,828300,1100000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
171,imhyoseop,안효섭,8900000,Indonesia,2200000,2500000,Lifestyle,,Lifestyle,,Lifestyle,1
172,norafatehi,Nora Fatehi,42100000,India,424400,522300,Cinema & Actors/actresses,Shows,Entertainment,Entertainment,Entertainment,1
173,cznburak,Burak Özdemir,40400000,Turkey,398900,541900,Food & Cooking,,Lifestyle,,Lifestyle,1
174,na.jaemin0813,JAEMIN,10000000,Indonesia,1800000,2200000,,,,,,0
175,paulpogba,Paul Labile Pogba,55300000,Brazil,218300,388600,Sports with a ball,,Sports,,Sports,1
176,zkdlin,KAI,14200000,Indonesia,1200000,1500000,,,,,,0
177,sabrinacarpenter,Sabrina Carpenter,27700000,Brazil,631400,775400,,,,,,0
178,nehakakkar,Neha Kakkar (Mrs. Singh),70800000,India,259100,302500,,,,,,0
179,lanarhoades,Lana Rhoades,16600000,United States,771400,1300000,Lifestyle,Modeling,Lifestyle,Beauty/Fashion,Lifestyle,1
180,jannatzubair29,Jannat Zubair Rahmani,44100000,India,386700,471200,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
181,emmawatson,Emma Watson,67500000,United States,224300,306200,Literature & Journalism,Cinema & Actors/actresses,Info/Business,Entertainment,Info/Business,1
182,domelipa,domelipa,19800000,Mexico,850500,1000000,Lifestyle,,Lifestyle,,Lifestyle,1
183,bbrightvc,bright,16100000,Indonesia,1000000,1300000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
184,erling.haaland,Erling Braut Haaland,18300000,Brazil,722600,1100000,Lifestyle,Sports with a ball,Lifestyle,Sports,Lifestyle,1
185,strangerthingstv,Stranger Things Netflix,22600000,Brazil,649800,869600,Cinema & Actors/actresses,Shows,Entertainment,Entertainment,Entertainment,1
186,bambam1a,BamBam,16700000,Brazil,917300,1200000,,,,,,0
187,vancityreynolds,Ryan Reynolds,45100000,United States,323400,425500,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
188,nina,Nina Dobrev,25900000,Brazil,512900,735400,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
189,iambeckyg,Becky G,33500000,Mexico,470300,566800,,,,,,0
190,onyourm__ark,Mark,9300000,Indonesia,1700000,2100000,Lifestyle,,Lifestyle,,Lifestyle,1
191,daddyyankee,Daddy Yankee,46000000,Argentina,296900,414000,,,,,,0
192,jamesrodriguez10,James Rodríguez,49900000,Colombia,250000,380500,Sports with a ball,,Sports,,Sports,1
193,kartikaaryan,KARTIK AARYAN,26000000,India,580400,721800,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
194,do0_nct,Doyoung,10500000,Indonesia,1300000,1700000,Lifestyle,,Lifestyle,,Lifestyle,1
195,twicetagram,TWICE,26600000,Indonesia,564000,684300,Modeling,,Beauty/Fashion,,Beauty/Fashion,1
196,m10_official,Mesut Özil,24200000,Turkey,539000,758100,Sports with a ball,,Sports,,Sports,1
197,aurelie.hermansyah,Aurelie Hermansyah Atta,27100000,Indonesia,528200,666200,Beauty,,Beauty/Fashion,,Beauty/Fashion,1
198,enhypen,ENHYPEN,10900000,Indonesia,1200000,1600000,Lifestyle,,Lifestyle,,Lifestyle,1
199,loganpaul,Logan Paul,23800000,United States,548200,731000,Fitness & Gym,,Sports,,Sports,1
200,momo,모모 (MOMO),8000000,Turkey,1500000,2200000,Lifestyle,,Lifestyle,,Lifestyle,1
201,zachking,Zach King,24500000,Indonesia,455500,701700,Shows,Humor & Fun & Happiness,Entertainment,Entertainment,Entertainment,1
202,akshaykumar,Akshay Kumar,63100000,India,229800,273000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
203,iamhalsey,halsey,30500000,United States,422700,556300,,,,,,0
204,serna_amini,Serna Amini,9600000,Iran,1400000,1800000,,,,,,0
205,nct,NCT Official Instagram,14600000,Indonesia,918300,1100000,,,,,,0
206,kajalaggarwalofficial,Kajal A Kitchlu,23500000,India,583000,704600,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
207,tatawerneck,Tata Werneck,54100000,Brazil,197100,306000,Cinema & Actors/actresses,Family,Entertainment,Lifestyle,Entertainment,1
208,angelrai07,Angel Rai :),22500000,India,591400,712500,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
209,brentrivera,Brent Rivera,22300000,United States,556000,721700,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
210,taeyeon_ss,TaeYeon,18800000,South Korea,696600,847100,,,,,,0
211,louist91,Louis Tomlinson,18500000,Brazil,636600,870900,,,,,,0
212,itzy.all.in.us,ITZY,17900000,Indonesia,714500,873700,,,,,,0
213,haileesteinfeld,hailee steinfeld,19600000,United States,626300,795200,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
214,iamferv,fer,10600000,Mexico,994000,1500000,Lifestyle,,Lifestyle,,Lifestyle,1
215,brunomars,Bruno Mars,25900000,Brazil,397000,601300,,,,,,0
216,carlinhosmaiaof,Carlinhos Maia🌻,26100000,Brazil,326500,595300,Lifestyle,,Lifestyle,,Lifestyle,1
217,taeoxo_nct,TAEYONG,9600000,Indonesia,1200000,1600000,Lifestyle,,Lifestyle,,Lifestyle,1
218,lilireinhart,Lili Reinhart,28700000,Brazil,359900,532300,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
219,colesprouse,Cole Sprouse,35900000,United States,324600,423800,Modeling,,Beauty/Fashion,,Beauty/Fashion,1
220,jessicah_o,Jessi / 제시,12600000,United States,939700,1200000,,,,,,0
221,riaricis1795,RICIS,31900000,Indonesia,386500,472900,Lifestyle,,Lifestyle,,Lifestyle,1
222,carryminati,𝑨𝒋𝒆𝒚 𝑵𝒂𝒈𝒂𝒓,16100000,India,795300,935800,Computers & Gadgets,Machinery & Technologies,Tech/Gaming,Tech/Gaming,Tech/Gaming,1
223,nayeonyny,나연 (NAYEON),8300000,Brazil,1600000,1800000,Lifestyle,,Lifestyle,,Lifestyle,1
224,sydney_sweeney,Sydney Sweeney,14200000,United States,555400,1000000,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle,1
225,thinkaboutzu,쯔위 (TZUYU),8000000,India,1600000,1900000,,,,,,0
226,gatenm123,Gaten Matarazzo,18700000,Brazil,596800,788200,Cinema & Actors/actresses,Fashion,Entertainment,Beauty/Fashion,Entertainment,1
227,postmalone,,22800000,United States,423200,647100,,,,,,0
228,awez_darbar,Awez Darbar,23100000,India,531200,636500,Shows,Cinema & Actors/actresses,Entertainment,Entertainment,Entertainment,1
229,m.by__sana,사나 (SANA),7500000,Yemen,1700000,2000000,Lifestyle,,Lifestyle,,Lifestyle,1
230,skuukzky,숮이  💄💅👡👠🎀👙🌂👗🌂🎀💋💌,18000000,Indonesia,654800,807900,Clothing & Outfits,,Beauty/Fashion,,Beauty/Fashion,1
