rank,handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg,category_1_unified,category_2_unified,category_primary,if_exist
227,jongmineyo,종민오빠  Jongmin oppa,15200000,4300000,275300,1800,2200,,,,0
228,jumpersjump,Jumpers Jump Podcast,8400000,3700000,351900,2200,1600,,,,0
229,piitien1603,pi tiên ™,1700000,3800000,288300,2200,2100,,,,0
230,gehu.gl,Gerson Garcia,573300,2000000,129000,1900,16500,,,,0
231,mesitaaa,Mesita,486900,3200000,550700,947,1700,,,,0
232,szivsz,Ziva Magnolya,2100000,4300000,479700,1400,857,,,,0
233,dilanjaniyar,Emang namanya Dilan,2200000,4100000,393600,1800,1200,,,,0
234,fernandamotafarhat,Fe,7300000,3300000,349300,733,3300,,,,0
235,stickyboy69,stickyboy69,9200000,1300000,298700,9100,2800,,,,0
236,juliagisella,juliagisella,13500000,3000000,377100,2400,1600,,,,0
237,mieayamthebstt,Unaa🍜,17000000,3100000,339900,2600,1800,,,,0
238,frankielapenna,Frankie LaPenna,5700000,6800000,227900,1200,1800,,,,0
239,jdpantoja,JD Pantoja,31900000,2500000,451100,3300,784,,,,0
240,davidcstt_,David Costa,6200000,3000000,514000,1700,1200,,,,0
241,badboyrema,Rema,2700000,3100000,421000,2600,894,,,,0
242,simxmargo,Seamoan {1M+},1000000,2400000,493100,2100,1700,,,,0
243,elainebabey,ELAINEBABEY,142800,1700000,280400,3600,5900,,,,0
244,chinguamiga,Chingu Amiga,20700000,4200000,566200,1500,393,,,,0
245,siscakohl,Sisca Kohl,13000000,4400000,369100,1900,716,,,,0
246,santiperezvivas,Santi Perez,3500000,2500000,450900,1400,2500,,,,0
247,jessnolimit999,Jess No Limit,6900000,4100000,379500,2200,536,,,,0
248,b.blek,b.blek,3300000,3100000,244600,2200,3500,,,,0
249,jacksepticeye,Jacksepticeye,5000000,2300000,476000,2700,1100,,,,0
250,saramohannad_,Sara,9000000,3600000,220700,3700,1600,,,,0
251,andrewrousso,Andrew Rousso,2800000,1100000,245800,2000,13400,,,,0
252,murphslife,Aaron Murphy,6000000,1900000,250000,4700,3900,,,,0
253,haileesteinfeld,Hailee Steinfeld,3600000,1600000,273900,7000,2200,,,,0
254,abir.sag,Abir el saghir,18900000,3200000,236000,4200,1100,,,,0
255,paytonking,Payton King,5300000,1700000,388200,2700,3400,,,,0
256,winniedom,Winnie Dominguez 🌻,499700,1800000,305500,2000,5200,,,,0
257,lukas.urkijo,Lukas urkijo,2000000,2000000,422000,3400,1300,,,,0
258,nia.ramadhani.bakrie,Nia Ramadhani Bakrie,2100000,4100000,337100,1600,1200,,,,0
259,fredziownik_art,Franek Bielak,12900000,6700000,300200,1600,340,,,,0
260,fedez,fedez,5900000,2600000,381000,1500,2600,,,,0
261,ser_jay,Hello It’s me SerJay,5600000,2000000,303100,2100,4300,,,,0
262,ketnipz,Ketnipz,5300000,1700000,274100,558,7700,,,,0
263,cookingwithlynja,Lynja,14500000,1900000,193500,10000,429,,,,0
264,katiavlogss,KATIAVLOGS🐒,15100000,4800000,552900,571,872,,,,0
265,cbum,Chris Bumstead,3800000,3000000,231500,983,4400,,,,0
266,recider,Recider,2200000,2100000,546400,1100,2200,,,,0
267,moosenyc2,moose,1000000,3000000,388100,1200,2000,,,,0
268,linatejeiro8,Lina Tejeiro,4600000,3700000,311700,1800,1400,,,,0
269,jakehunterofficial,Jake hunter,3700000,3400000,270300,2000,2000,,,,0
270,dylan.page,Dylan Page,4900000,1900000,278000,4200,2700,,,,0
271,nurse.johnn,nurse.johnn,3300000,1600000,226700,1200,8800,,,,0
272,lilnasx,lil nas x,29100000,2600000,371100,2200,1500,,,,0
273,catherineealicia,catheez,2000000,3200000,362100,1800,1300,,,,0
274,aleatoriamente7777,Gabriel Aleatoriamente,2000000,1500000,353600,5100,1600,,,,0
275,isaac.h.p.karaoke.backup,Isaac H.P Karaoke Backup,2000000,1000000,225500,6400,9400,,,,0
276,aydas,Aydas,14900000,4500000,326400,1800,558,,,,0
277,anokhinalz,Аnokhina Liza,39000000,4100000,406600,1800,294,,,,0
278,bryan_skabeche,Bryan SKabeche,7200000,4900000,485500,987,486,,,,0
279,wuesilva,Wue Silva,14300000,3000000,305400,1400,2500,,,,0
280,daviddobrik,DAVID DOBRIK,26400000,3000000,423700,884,1900,,,,0
281,victtoriamedeiros,Victtória Medeiros,8700000,2800000,337100,1200,2500,,,,0
282,datvilla94,🔥Đạt Villa🔥,7300000,1700000,200700,6600,3800,,,,0
283,cody.taurus,Cody Taurus,740600,1300000,155500,1400,15300,,,,0
284,anwar,Anwar Jibawi,13100000,2300000,310700,2400,2300,,,,0
285,marlene2995,Marlenebenitez,12000000,4000000,305700,1400,1400,,,,0
286,jkartsoccer_tiktok,JKartsoccer,1500000,5800000,288900,813,1200,,,,0
287,bellacampox,Bella Campos,786400,2500000,372400,2300,1400,,,,0
288,lionfieldmusic,lionfield,5900000,2600000,294900,2900,1600,,,,0
289,andrefernm,André Fernandes,387300,888500,111900,5700,28300,,,,0
290,mandrake1984real,Giuseppe Mandrake Ninno,1600000,2100000,250400,1100,5200,,,,0
291,elena_oki,Elena,1300000,2000000,352200,1500,3200,,,,0
292,prokhozhy,Виктор Пак,1400000,1800000,161000,1700,9400,,,,0
293,tangmokoko,แตงโม โกโก้ปั่น,1100000,3200000,445700,707,1600,,,,0
294,haileybieber,Hailey Bieber,10500000,3300000,398500,1500,972,,,,0
295,mackenzieziegler,Mackenzie Ziegler,22400000,4400000,694300,700,369,,,,0
296,canalzezao,Zezão,7700000,2000000,166500,2200,7700,,,,0
297,francoescamillaofficial,Franco Escamilla,18300000,3100000,372200,498,2300,,,,0
298,agnesmelo_oficial,Agnes Melo,6000000,3700000,410900,1100,1000,,,,0
299,shenacinnamon,Shenina Cinnamon,598000,6400000,478200,542,499,,,,0
300,inpersa16,Indah permatasari,2300000,3900000,295000,1600,1100,,,,0
301,smtown_official,SMTOWN,2800000,1800000,379600,2900,1800,,,,0
302,ive.official,IVE.official,3600000,1800000,334300,4000,1300,,,,0
303,jostyle_17,Jostyle17,1600000,2400000,290400,1100,3500,,,,0
304,unnecessaryinventions,Unnecessary Inventions,6000000,3100000,303100,2500,876,,,,0
305,felipenpv,Felipe Paiva,5000000,2000000,361000,2500,1800,,,,0
306,itskingchris,KingChristian,18300000,2100000,386300,2600,1300,,,,0
307,jackjos3ph,Jack Joseph,3400000,1700000,258600,3100,3900,,,,0
308,leleburnier,LELÊ BURNIER,2700000,1800000,424300,3300,777,,,,0
309,theacefamily,Theacefamily,6500000,4100000,521000,0,1400,,,,0
310,vilmeijuga,VILMEI✨,21400000,3300000,267500,2100,1400,,,,0
311,divabry,⚜️DIVABRY⚜️,4300000,2900000,369900,1500,1300,,,,0
312,jeffwittek,jeff,2000000,3900000,496800,526,1000,,,,0
313,oli_natu,Oli Natu,11200000,2800000,361800,1500,1500,,,,0
314,erictro,Eric Tro,4900000,3600000,397500,560,1500,,,,0
315,mozzacella.cheez,Mozzarella Cheese,69000,2100000,281400,4000,1100,,,,0
316,jubiandxian,jubiandxian,6400000,2800000,486900,1100,1100,,,,0
317,shamichef21,Shamichef,2600000,3700000,113600,2000,5100,,,,0
318,arigameplays,AriGameplays,23600000,2900000,415800,1600,897,,,,0
319,dudamaryah,dudamaryah,6800000,2400000,435500,1500,1300,,,,0
320,camilo,Camilo,29600000,4100000,417900,1200,520,,,,0
321,shakira,Shakira,27300000,3100000,305800,2300,747,,,,0
322,axelwebber,Axel,4400000,2800000,384000,1700,1100,,,,0
323,katelynrosebrown,KatelynBrown,1900000,3300000,375700,1400,1000,,,,0
324,kaansanity,aakaanksh,5000000,3300000,159900,1500,4000,,,,0
325,andresgjohnson,Andres Johnson256,4700000,1900000,237600,1100,5500,,,,0
326,zhcyt,ZHC,15400000,3300000,466000,1500,410,,,,0
327,cedriklorenzen,Cedrik Lorenzen,3200000,1300000,180000,3600,8400,,,,0
328,emiliamernes,EMILIA,5000000,3900000,403300,869,920,,,,0
329,tooturnttony,Tooturnttony,18800000,2900000,340900,2300,513,,,,0
330,moisesturcioss,Moises TurciosⓂ️,1200000,1900000,115900,1700,10800,,,,0
331,marcel.ruiz,Marcel Ruiz,303100,1500000,374500,3300,1700,,,,0
332,pakoyaso_,Pakoyaso,14500000,4200000,500100,758,574,,,,0
333,phuonganhcun97,Lê Phương Anh,1600000,4000000,314000,1700,520,,,,0
334,emrata,Emrata,2100000,3400000,323000,867,1600,,,,0
335,ygnazz,NAS,2500000,2200000,318900,1700,2300,,,,0
336,twice_tiktok_officialjp,TWICE JAPAN OFFICIAL,4800000,1300000,276500,4800,2900,,,,0
337,syifahadjuuuuuuu,Syifa Hadju,4100000,3300000,473800,1200,513,,,,0
338,xule079,Xù LèO,1800000,5300000,235100,2000,213,,,,0
339,vanessalopesr,Vanessa Lopes,26900000,2900000,275600,2200,1300,,,,0
340,fahmi.nm,Fahmi,8800000,3300000,437700,1200,759,,,,0
341,postmalone,Post Malone,14400000,1600000,221000,2800,4900,,,,0
342,kekepalmer,Keke Palmer,7000000,1800000,313900,2200,2600,,,,0
343,mrcaqui,Facundo Izquierdo,7100000,1000000,294100,1500,7400,,,,0
344,madelineargy,madz,3300000,3200000,574800,976,463,,,,0
345,los_chicaneros,Los_chicaneros,5200000,2300000,235400,1500,3400,,,,0
346,kaelimaee,kaeli mae,12400000,3200000,435900,1100,786,,,,0
347,sara.wais,Sara Waisglass,4400000,2400000,502000,1700,481,,,,0
348,anas_elshayib,انس الشايب,4600000,3500000,182400,2300,1700,,,,0
