handle_instagram,name_instagram,category_1,category_2,followers,audience_country,engagement_auth,engagement_avg,unified_cat_1,unified_cat_2
faz3,Fazza,Lifestyle,,14000000,United Arab Emirates,257300,337900,Lifestyle,
fcbarcelona,FC Barcelona,Sports with a ball,,107100000,Indonesia,450100,687900,Sports,
fcbayern,FC Bayern,Sports with a ball,,31800000,Germany,115000,167400,Sports,
fedez,FEDEZ,Music,,13700000,Italy,725500,1000000,Music,
feliciathegoat,"Tyler, The Creator",Music,,12400000,United States,1000000,1700000,Music,
felicyangelista_,Felicya Angelista,Family,,21000000,Indonesia,107000,147800,Lifestyle,
felipeneto,Felipe Neto 🦉,Lifestyle,,15400000,Brazil,166100,236000,Lifestyle,
fifaworldcup,FIFA World Cup,Sports with a ball,,25500000,India,71200,109100,Sports,
florencepugh,Florence Pugh,Humor & Fun & Happiness,Cinema & Actors/actresses,7200000,United States,926400,1400000,Entertainment,Entertainment
for_everyoung10,장원영 WONYOUNG,,,3600000,Indonesia,733900,926900,,
fortnite,Fortnite,Computers & Gadgets,,26100000,United States,102100,120300,Tech/Gaming,
francety,Francia James,Adult content,,10600000,India,250400,328300,Entertainment,
francinyehlke,FЯAN,Beauty,,15200000,Brazil,86400,188600,Beauty/Fashion,
frenchmontana,French Montana,Music,,24500000,United States,91500,151600,Music,
frenkiedejong,Frenkie de Jong,Sports with a ball,,10000000,Spain,528600,792500,Sports,
fuckjerry,FUCKJERRY,Humor & Fun & Happiness,,16600000,United States,405300,523100,Entertainment,
fuji_an,Fujianti Utami Putri,,,10300000,Indonesia,531800,1300000,,
gabigol,Gabi 🇧🇷 Lil Gabi,Sports with a ball,,9600000,Brazil,282000,427000,Sports,
gal_gadot,Gal Gadot,Cinema & Actors/actresses,,77000000,United States,597500,771600,Entertainment,
galatasaray,Galatasaray,Sports with a ball,,11100000,Turkey,254400,307800,Sports,
garethbale11,Gareth Bale,Sports with a ball,,46300000,Spain,402200,633900,Sports,
gatenm123,Gaten Matarazzo,Music,Cinema & Actors/actresses,13600000,Brazil,449500,594100,Music,Entertainment
geneliad,Genelia Deshmukh,Cinema & Actors/actresses,,9600000,India,444400,550600,Entertainment,
georgenotfound,GeorgeNotFound,,,3100000,United States,997800,1100000,,
georginagio,Georgina Rodríguez,Lifestyle,Fashion,36500000,India,2500000,3500000,Lifestyle,Beauty/Fashion
gessicakayane,GKAY,Shows,Humor & Fun & Happiness,19300000,Brazil,173600,357900,Entertainment,Entertainment
ggonekim,,,,5100000,Indonesia,441600,542600,,
gianlucavacchi,Gianluca Vacchi,Lifestyle,,22200000,Brazil,511400,787200,Lifestyle,
giannis_an34,Giannis Antetokounmpo,Sports with a ball,,12300000,United States,217800,344600,Sports,
gigihadid,Gigi Hadid,Modeling,Lifestyle,73200000,United States,1900000,2800000,Beauty/Fashion,Lifestyle
gildovigor,GIL DO VIGOR,,,15000000,Brazil,442500,612200,,
gima_ashi,Garima Chaurasia 💙,Lifestyle,,13900000,India,145100,197800,Lifestyle,
gioewbank,Giovanna Ewbank,Cinema & Actors/actresses,Modeling,28000000,Brazil,181400,290600,Entertainment,Beauty/Fashion
gisele,Gisele Bündchen,Modeling,Fashion,18900000,Brazil,274600,408000,Beauty/Fashion,Beauty/Fashion
goar_avetisyan,Goar Avetisyan,Beauty,,11500000,Russia,510500,707900,Beauty/Fashion,
golfarahani,Golshifteh Farahani,Cinema & Actors/actresses,,12600000,Iran,307500,395700,Entertainment,
grantgust,Grant Gustin,Cinema & Actors/actresses,Fashion,7800000,Brazil,343400,487300,Entertainment,Beauty/Fashion
greeicy,Greeicy,Shows,Cinema & Actors/actresses,20400000,Colombia,201400,270900,Entertainment,Entertainment
grefg_official,TheGrefg,Computers & Gadgets,Machinery & Technologies,7100000,Spain,440100,546100,Tech/Gaming,Tech/Gaming
gucci,Gucci Official,Accessories & Jewellery,Clothing & Outfits,47900000,United States,57900,74300,Beauty/Fashion,Beauty/Fashion
gururandhawa,Guru Randhawa,Music,,31500000,India,110800,135400,Music,
gusein.gasanov,ГУСЕЙН ГАСАНОВ,Shows,,21000000,Russia,524500,786100,Entertainment,
gusttavolima,🏛 Gusttavo Lima 🏛,Music,,42900000,Brazil,46900,79800,Music,
hadise,Hadise,Music,Shows,13700000,Turkey,220700,257200,Music,Entertainment
haechanahceah,HAECHAN,,,2700000,,0,2100000,,
haileesteinfeld,hailee steinfeld,Cinema & Actors/actresses,,18200000,United States,1500000,1900000,Entertainment,
haileybieber,Hailey Rhode Baldwin Bieber,Lifestyle,Modeling,42200000,United States,1800000,2400000,Lifestyle,Beauty/Fashion
hakkiakdenizz,hakki akdeniz,Business & Careers,,17600000,Russia,120200,174400,Info/Business,
handemiyy,Hande Erçel,Cinema & Actors/actresses,,27300000,Turkey,2100000,2800000,Entertainment,
hannahstocking,Hannah Stocking,Modeling,,21000000,United States,237200,337800,Beauty/Fashion,
hardikpandya93,Hardik Himanshu Pandya,Sports with a ball,,20600000,India,860300,1100000,Sports,
harrykane,Harry Kane,Sports with a ball,,12300000,United Kingdom,148300,204400,Sports,
harrystyles,,Music,Fashion,43300000,Brazil,2900000,3900000,Music,Beauty/Fashion
hassan_reyvandi,hasan reyvandi حسن ریوندی,Cinema & Actors/actresses,Humor & Fun & Happiness,18700000,Iran,330100,456500,Entertainment,Entertainment
hegdepooja,Pooja Hegde,Cinema & Actors/actresses,,18800000,India,831700,959300,Entertainment,
helen_yes1,Елена Сажина,Cinema & Actors/actresses,,10500000,Russia,342400,442600,Entertainment,
henrycavill,Henry Cavill,Cinema & Actors/actresses,,19700000,Brazil,795100,966500,Entertainment,
heybiblee,이성경,Modeling,,13500000,Indonesia,971100,1300000,Beauty/Fashion,
hi_high_hiy,황인엽,Cinema & Actors/actresses,,12900000,South Korea,2600000,3000000,Entertainment,
hi_songjoongki,송중기 songjoongki official,Cinema & Actors/actresses,,8800000,Indonesia,1700000,2400000,Entertainment,
hi_sseulgi,슬기 Seulgi,Modeling,,11900000,Indonesia,849600,1100000,Beauty/Fashion,
hichasestokes,,Lifestyle,,7400000,United States,640900,959800,Lifestyle,
hilaryduff,Hilary Duff,Cinema & Actors/actresses,,20600000,United States,147300,188200,Entertainment,
hm_son7,Son HeungMin(손흥민)🇰🇷,,,6000000,Brazil,395900,644200,,
holyhaein,정해인,,,9700000,Indonesia,2100000,2600000,,
hoooooyeony,Hoyeon,Lifestyle,,23700000,South Korea,2000000,2700000,Lifestyle,
houseofhighlights,House of Highlights,Sports with a ball,,32700000,United States,64600,117200,Sports,
hrithikroshan,Hrithik Roshan,Cinema & Actors/actresses,,41900000,India,638300,805300,Entertainment,
hshq,Harry Styles HQ,Music,Cinema & Actors/actresses,5500000,United States,488100,859100,Music,Entertainment
huddy,Chase Hudson,Lifestyle,Art/Artists,11900000,Brazil,228400,317800,Lifestyle,Entertainment
humansofny,Humans of New York,Lifestyle,Photography,11800000,United States,181900,215400,Lifestyle,Lifestyle
hunterschafer,Hunter,,,7100000,United States,957200,1600000,,
hyeri_0609,혜리,Music,,7000000,South Korea,447600,539000,Music,
hyunah_aa,Hyun Ah,Music,,17600000,South Korea,378100,448700,Music,
hziyech,Hakim Ziyech,Sports with a ball,,6000000,Morocco,348400,476000,Sports,
hztttao,Z.TAO🔴黄子韬,Music,,11300000,Indonesia,253100,281300,Music,
i_m_hendery,Hi👉🏻im Hendery👈🏻,,,6000000,United States,965500,1300000,,
i_nivethathomas,Nivetha Thomas,Cinema & Actors/actresses,,5900000,India,395300,447000,Entertainment,
iambeckyg,Becky G,Music,,31200000,Mexico,679200,817400,Music,
iamcardib,Cardi B,Music,Fashion,127200000,United States,2300000,3300000,Music,Beauty/Fashion
iamferv,fer,Lifestyle,Art/Artists,8800000,Mexico,1000000,1500000,Lifestyle,Entertainment
iamhalsey,halsey,Music,,28900000,United States,793700,1000000,Music,
iammichelemorroneofficial,Michele Morrone,Lifestyle,Cinema & Actors/actresses,12900000,Brazil,654100,938900,Lifestyle,Entertainment
iampauloandre,Paulo André 🏁,Lifestyle,,6100000,Brazil,122200,424400,Lifestyle,
iamsrk,Shah Rukh Khan,Cinema & Actors/actresses,,28600000,India,717000,909700,Entertainment,
iamzlatanibrahimovic,Zlatan Ibrahimović,Sports with a ball,,52900000,Italy,306700,473100,Sports,
iansomerhalder,iansomerhalder,Cinema & Actors/actresses,,22500000,United States,527600,788900,Entertainment,
ibaillanos,Ibai,Art/Artists,,6800000,Spain,859100,1200000,Entertainment,
ileana_official,Ileana D'Cruz,Cinema & Actors/actresses,,14100000,India,286000,347700,Entertainment,
imhyoseop,안효섭,Lifestyle,,6000000,Indonesia,1200000,1400000,Lifestyle,
imouniroy,mon,Cinema & Actors/actresses,,22600000,India,238900,290700,Entertainment,
imsebastianstan,Sebastian Stan,Shows,Cinema & Actors/actresses,9000000,United States,566100,672900,Entertainment,Entertainment
indiancricketteam,Team India,Sports with a ball,,23900000,India,223200,260300,Sports,
indiaroyale,India,Lifestyle,,4000000,United States,384500,1100000,Lifestyle,
inijedar,Jessica Iskandar Verhaag,Cinema & Actors/actresses,,29400000,Indonesia,74500,99700,Entertainment,
instagram,Instagram,Photography,,487200000,India,352300,467400,Lifestyle,
iqbaal.e,iqbaal ramadhan,Cinema & Actors/actresses,,13400000,Indonesia,271400,465900,Entertainment,
irinashayk,irinashayk,Modeling,,17900000,Russia,121800,169000,Beauty/Fashion,
iscoalarcon,Isco Alarcon Suarez,Sports with a ball,,23300000,Spain,142700,206200,Sports,
isisvalverde,isis valverde,Cinema & Actors/actresses,Lifestyle,27800000,Brazil,79400,117200,Entertainment,Lifestyle
its.michhh,Michel Chavez,,,5300000,Mexico,605100,741200,,
itsmarziapie,Marzia Kjellberg,Beauty,Lifestyle,8200000,United States,603200,705100,Beauty/Fashion,Lifestyle
itzy.all.in.us,ITZY,Music,,15800000,Indonesia,761500,930800,Music,
j.m,JIMIN of BTS,,,32700000,,12700000,12700000,,
jackharlow,Jack Harlow,Lifestyle,Music,5100000,United States,330800,618400,Lifestyle,Music
jacksepticeye,Jacksepticeye,Computers & Gadgets,Machinery & Technologies,7700000,United States,277700,322300,Tech/Gaming,Tech/Gaming
jacksonwang852g7,Jackson Wang,Music,,27300000,China,950100,1100000,Music,
jacobelordi,Jacob Elordi,Cinema & Actors/actresses,,13200000,Brazil,997400,1600000,Entertainment,
jacquelinef143,Jacqueline Fernandez,Cinema & Actors/actresses,,59300000,India,322000,391800,Entertainment,
jadepicon,JADE 🌪,Modeling,Fashion,19400000,Brazil,375200,818400,Beauty/Fashion,Beauty/Fashion
jailyneojeda,Jailyne Ojeda Ochoa,Modeling,Lifestyle,14100000,United States,183100,253700,Beauty/Fashion,Lifestyle
jaimelorentelo,El chaval,Cinema & Actors/actresses,,14500000,Brazil,285100,381800,Entertainment,
jairmessiasbolsonaro,Jair M. Bolsonaro,Finance & Economics,Business & Careers,19500000,Brazil,150900,212600,Info/Business,Info/Business
jakepaul,Jake Paul,Cinema & Actors/actresses,,19200000,United States,278200,465100,Entertainment,
jamescharles,James Charles,Beauty,,23300000,United States,293900,432000,Beauty/Fashion,
jamesrodriguez10,James Rodríguez,Sports with a ball,,49100000,Colombia,506000,768300,Sports,
jamorant,12 🥷🏽🖤,Lifestyle,Sports with a ball,5900000,United States,332900,537800,Lifestyle,Sports
janhvikapoor,Janhvi Kapoor,Lifestyle,Cinema & Actors/actresses,16100000,India,951300,1100000,Lifestyle,Entertainment
jannatzubair29,Jannat Zubair Rahmani,Cinema & Actors/actresses,,41200000,India,614700,748600,Entertainment,
jaspritb1,jasprit bumrah,Lifestyle,,9500000,India,466500,536000,Lifestyle,
jaybnow.hr,LIM JAE BEOM,Music,,6600000,Brazil,561300,731700,Music,
jaydacheaves,JAYDA WAYDA,Clothing & Outfits,,7000000,United States,128500,381300,Beauty/Fashion,
jbalvin,J Balvin,Music,,51900000,Mexico,273600,363000,Music,
jennaortega,Jenna Ortega,Cinema & Actors/actresses,Lifestyle,7400000,United States,257100,366100,Entertainment,Lifestyle
jennierubyjane,J,Music,,64800000,Indonesia,6200000,7400000,Music,
jennifer.garner,Jennifer Garner,Cinema & Actors/actresses,,12500000,United States,255600,289400,Entertainment,
jenniferaniston,Jennifer Aniston,Cinema & Actors/actresses,,40100000,Brazil,1600000,2300000,Entertainment,
jenniferwinget1,Jennifer Winget,Cinema & Actors/actresses,,12300000,India,322300,391700,Entertainment,
jennmuriel,Jenn muriel,Lifestyle,Modeling,5500000,Colombia,451500,562600,Lifestyle,Beauty/Fashion
jensenackles,Jensen Ackles,Cinema & Actors/actresses,,9100000,United States,504600,655900,Entertainment,
jeremyrenner,Jeremy Renner,Shows,Cinema & Actors/actresses,17200000,United States,192900,230800,Entertainment,Entertainment
jeromepolin,Jerome Polin Sijabat ジェローム,Education,Humor & Fun & Happiness,6500000,Indonesia,424200,622400,Info/Business,Entertainment
jesselingard,JLingz,Sports with a ball,,9500000,United Kingdom,192100,294500,Sports,
jessicah_o,Jessi / 제시,Music,,9700000,United States,874500,1100000,Music,
jessicajane99,Jessica Jane,Lifestyle,,6000000,Indonesia,441400,582300,Lifestyle,
jharden13,James Harden,Sports with a ball,,11700000,United States,137500,236500,Sports,
jheneaiko,Jhené Aiko Efuru Chilombo 🔮,Music,,14000000,United States,273800,481100,Music,
jichangwook,지창욱,Cinema & Actors/actresses,,19200000,Indonesia,920200,1200000,Entertainment,
jimmyfallon,Jimmy Fallon,Shows,Humor & Fun & Happiness,21300000,United States,97200,120900,Entertainment,Entertainment
jin,Jin of BTS,,,32000000,United States,11100000,11100000,,
jin_bighitentertainment,JIN (김석진),Lifestyle,,8500000,Indonesia,1200000,1400000,Lifestyle,
jinyoung_0922jy,박진영,Music,,9300000,Indonesia,881400,1200000,Music,
jlo,Jennifer Lopez,Music,Cinema & Actors/actresses,200800000,United States,429500,549900,Music,Entertainment
joaogomescantor,João Gomes 🎙,,,10800000,Brazil,335800,917800,,
joaoguilherme,J҉O҉T҉I҉N҉H҉A҉,Music,Cinema & Actors/actresses,15500000,Brazil,116800,227100,Music,Entertainment
joeyking,Joey King,Music,Cinema & Actors/actresses,19100000,Brazil,541100,774100,Music,Entertainment
johnnyjsuh,Johnny Suh,Lifestyle,Music,8100000,Indonesia,1300000,1600000,Lifestyle,Music
jojotodynho,JoJo,Music,,21700000,Brazil,117300,190100,Music,
jokowi,Joko Widodo,Finance & Economics,,45800000,Indonesia,158000,196000,Info/Business,
jongsuk0206,이종석,Cinema & Actors/actresses,,22200000,Indonesia,2200000,2900000,Entertainment,
jordialbaoficial,Jordi Alba,Sports with a ball,,14100000,Spain,135700,196300,Sports,
jorgelopez_as,Jorge Lopez,Cinema & Actors/actresses,,9700000,Brazil,211300,346300,Entertainment,
joshu_acoustic,Joshua Hong,Music,,4000000,,0,1000000,Music,
joshuadun,jøsh dun,Music,,5800000,United States,540300,660000,Music,
juandam___,JuanDa.,,,3500000,Colombia,772400,941200,,
juandediospantoja,JD PANTOJA 🇲🇽,Music,Art/Artists,21500000,Mexico,519100,591800,Music,Entertainment
juanpazurita,Juanpa Zurita,Cinema & Actors/actresses,,28600000,Mexico,341700,485800,Entertainment,
juansguarnizo,Juan Sebastián Guarnizo,,,4700000,Mexico,659600,722900,,
juicewrld999,Juice WRLD 9 9 9,,,12200000,United States,493900,833200,,
juki_lop,JukiLop,Shows,Family,9100000,Mexico,493000,573300,Entertainment,Lifestyle
julesleblanc,julianna,Music,Shows,9700000,United States,409500,592100,Music,Entertainment
julianapaes,Juliana Paes,Art/Artists,Cinema & Actors/actresses,30200000,Brazil,61400,95200,Entertainment,Entertainment
juliette,Juliette,Cinema & Actors/actresses,,33700000,Brazil,201200,319800,Entertainment,
jungkook_bighitentertainment,JUNGKOOK (전정국) Updates,Management & Marketing,Music,9900000,Brazil,1800000,2000000,Info/Business,Music
jungkook.97,Jungkook,,,35800000,,11400000,11400000,,
justinbieber,Justin Bieber,Music,,227000000,India,439100,638200,Music,
justinbieber,Justin Bieber,Music,,227400000,India,314200,445300,Music,
justintimberlake,Justin Timberlake,Music,Art/Artists,64200000,United States,323300,432900,Music,Entertainment
juventus,Juventus,Sports with a ball,,52900000,India,61800,89400,Sports,
k.kbeom,김범 kimbum,,,5200000,Indonesia,1000000,1200000,,
k.mbappe,Kylian Mbappé,Sports with a ball,,68900000,France,3000000,4300000,Sports,
kajalaggarwalofficial,Kajal A Kitchlu,Cinema & Actors/actresses,,21700000,India,527300,638000,Entertainment,
kaka,Kaká,Sports with a ball,,17900000,Brazil,83600,136100,Sports,
kaliuchis,,Music,,3700000,United States,399200,689700,Music,
kapilsharma,Kapil Sharma,Cinema & Actors/actresses,Shows,39800000,India,690200,789300,Entertainment,Entertainment
kareenakapoorkhan,Kareena Kapoor Khan,Lifestyle,Cinema & Actors/actresses,8900000,India,367400,458300,Lifestyle,Entertainment
karimbenzema,Karim Benzema,Sports with a ball,,47400000,France,981200,1400000,Sports,
karljacobs,Karl Jacobs,,,4000000,United States,722500,941700,,
karolg,KAROL G,Music,,50800000,Mexico,4500000,5400000,Music,
kartikaaryan,KARTIK AARYAN,Cinema & Actors/actresses,,23800000,India,472200,588200,Entertainment,
katherinelangford,KATHERINE LANGFORD,Cinema & Actors/actresses,,25700000,India,241900,346400,Entertainment,
katrinakaif,Katrina Kaif,Beauty,,62900000,India,1000000,1100000,Beauty/Fashion,
katyperry,KATY PERRY,Music,,156600000,Brazil,231800,302600,Music,
kawtarbamo,KAWTAR BA-MOHAMED,Cinema & Actors/actresses,,7200000,Morocco,275900,374100,Entertainment,
kaylanicolejones,,Shows,,7300000,United States,166500,352700,Entertainment,
keerthysureshofficial,Keerthy Suresh,Fashion,Cinema & Actors/actresses,12500000,India,650700,743600,Beauty/Fashion,Entertainment
kehlani,Kehlani,Music,Family,13700000,United States,210500,328200,Music,Lifestyle
kendalljenner,Kendall,Modeling,Fashion,227400000,United States,3400000,5500000,Beauty/Fashion,Beauty/Fashion
keniaos,Kenia Os,Music,,12600000,Mexico,545200,709000,Music,
kentooyamazaki,山﨑賢人,Cinema & Actors/actresses,,4900000,Japan,583000,677100,Entertainment,
kenzie,kenzie ♡,Art/Artists,,14800000,United States,232400,353600,Entertainment,
kevindebruyne,Kevin De Bruyne,Sports with a ball,,16800000,United Kingdom,247500,382900,Sports,
kevinhart4real,Kevin Hart,Cinema & Actors/actresses,,140200000,United States,111300,141000,Entertainment,
kevinroldankr,KR ♛,Music,,10100000,Mexico,180200,291400,Music,
khabib_nurmagomedov,Хабиб Нурмагомедов,Fitness & Gym,,33300000,Russia,252600,353300,Sports,
khaby00,Khaby Lame,,,73900000,Iran,4300000,6500000,,
khloekardashian,Khloé Kardashian,Clothing & Outfits,Lifestyle,230200000,United States,991100,1200000,Beauty/Fashion,Lifestyle
kiaraaliaadvani,KIARA,Cinema & Actors/actresses,,22100000,India,828800,939300,Entertainment,
kiernanshipka,Kiernan Shipka,Cinema & Actors/actresses,,8100000,Brazil,207300,335800,Entertainment,
kimberly.loaiza,KIM LOAIZA 🖤,Clothing & Outfits,Lifestyle,33900000,Mexico,995000,1200000,Beauty/Fashion,Lifestyle
kimjuncotton,SUHO,Lifestyle,,9700000,Indonesia,1400000,1700000,Lifestyle,
kimkardashian,Kim Kardashian,Fashion,Beauty,296400000,United States,2000000,2900000,Beauty/Fashion,Beauty/Fashion
kimshantal,Kim Shantal 🌹,Music,,11600000,Mexico,203300,237800,Music,
kingarturo23oficial,Arturo Vidal,Sports with a ball,,16700000,Italy,120800,194800,Sports,
kingbach,King Bach,Music,Art/Artists,22100000,United States,120600,242000,Music,Entertainment
kingjames,👑,Sports with a ball,,116600000,United States,952900,1600000,Sports,
kingryan,Ryan Garcia,Fitness & Gym,,8700000,United States,209500,316600,Sports,
kittychicha,NANNO | KITTYCHICHA AMATAYAKUL,Lifestyle,,4200000,Philippines,678800,823400,Lifestyle,
kjapa,KJ Apa,Cinema & Actors/actresses,,19000000,United States,1000000,1500000,Entertainment,
kkvsh,🇯🇲🦂🇸🇻,Lifestyle,,8200000,United States,198800,336600,Lifestyle,
klaythompson,Klay Thompson,Sports with a ball,Lifestyle,11600000,United States,202300,294700,Sports,Lifestyle
kourtneykardash,Kourtney ❤️,Lifestyle,,166400000,United States,674500,961200,Lifestyle,
krisjenner,Kris Jenner,Shows,Beauty,46600000,United States,119600,183400,Entertainment,Beauty/Fashion
kritisanon,Kriti,Modeling,,47300000,India,565500,658200,Beauty/Fashion,
ksi,KSI,Music,,11200000,United Kingdom,611700,857500,Music,
kun11xd,KUN,Lifestyle,,6500000,Indonesia,802400,1000000,Lifestyle,
kunaguero,Sergio Leonel Agüero,Sports with a ball,,22400000,Argentina,458400,794500,Sports,
kyliejenner,Kylie 🤍,Fashion,Modeling,323300000,United States,7600000,12300000,Beauty/Fashion,Beauty/Fashion
kyo1122,Song hyekyo,Cinema & Actors/actresses,,12900000,Indonesia,636200,810500,Entertainment,
kyrieirving,K.A.I Hélà,Sports with a ball,,16200000,United States,142700,216800,Sports,
l7nnon,L7,Lifestyle,Shows,6300000,Brazil,214000,507900,Lifestyle,Entertainment
la_segura,LA SEGURA ♛ ♥,Cinema & Actors/actresses,,8200000,Colombia,335200,411300,Entertainment,
lacikaysomers,Laci Kay Somers,Music,Modeling,11800000,United States,147500,253700,Music,Beauty/Fashion
ladivaza,✨LA DIVAZA✨,Music,Modeling,6800000,Mexico,388900,474500,Music,Beauty/Fashion
ladygaga,Lady Gaga,Music,Cinema & Actors/actresses,51900000,United States,498300,700000,Music,Entertainment
lakers,Los Angeles Lakers,Sports with a ball,,19300000,United States,85800,132400,Sports,
lalalalisa_m,LISA,Music,,75700000,Indonesia,7500000,8600000,Music,
lamborghini,Lamborghini,Luxury,Cars & Motorbikes,31600000,India,174400,240500,Beauty/Fashion,Lifestyle
lanacondor,,Cinema & Actors/actresses,,10900000,Brazil,283000,385700,Entertainment,
larasilva,Lara Silva 💦,Shows,Adult content,16800000,Brazil,789000,1200000,Entertainment,Entertainment
larissamanoela,Larissa Manoela,Cinema & Actors/actresses,,44800000,Brazil,192100,320400,Entertainment,
larray,larri,Lifestyle,Modeling,6700000,United States,357000,521500,Lifestyle,Beauty/Fashion
laurenlondon,Lauren London,Cinema & Actors/actresses,Modeling,9700000,United States,217700,371600,Entertainment,Beauty/Fashion
ldh_sky,이도현,,,5500000,Indonesia,978400,1300000,,
leaelui,Lea Elui G,Modeling,Lifestyle,11700000,India,428400,719500,Beauty/Fashion,Lifestyle
leedongwook_official,이동욱 (Official_Instagram),Cinema & Actors/actresses,,14100000,Indonesia,1000000,1400000,Entertainment,
leeyoum262,이유미,Photography,Humor & Fun & Happiness,8100000,South Korea,562700,688800,Lifestyle,Entertainment
leighannepinnock,Leigh-Anne Pinnock,Music,,8500000,Brazil,279100,398000,Music,
lelepons,Lele Pons,Music,,47700000,Mexico,724300,1100000,Music,
leomessi,Leo Messi,Sports with a ball,Family,315400000,Argentina,4000000,5300000,Sports,Lifestyle
leonardodicaprio,Leonardo DiCaprio,Cinema & Actors/actresses,,52800000,United States,132000,166200,Entertainment,
ler_chek,Валерия Чекалина,Lifestyle,Beauty,10500000,Russia,713000,923300,Lifestyle,Beauty/Fashion
lestykejora,Lestikejora,Music,,24900000,Indonesia,372900,484000,Music,
letthelordbewithyou,Scott Disick,Lifestyle,Family,26500000,United States,61500,92200,Lifestyle,Lifestyle
lewishamilton,Lewis Hamilton,Racing Sports,,27500000,Brazil,819900,1200000,Sports,
lexibrookerivera,Lexi Rivera,Shows,Humor & Fun & Happiness,8400000,United States,778000,975400,Entertainment,Entertainment
liampayne,Liam Payne,Music,,24100000,United States,420400,585500,Music,
lilbaby,WHAM,Music,,18800000,United States,475400,876500,Music,
lildurk,DURKIOOO,Music,Art/Artists,13000000,United States,162100,458200,Music,Entertainment
lilireinhart,Lili Reinhart,Cinema & Actors/actresses,,29000000,Brazil,1500000,2200000,Entertainment,
lilnasx,MONTERO,Music,,12200000,United States,815500,1400000,Music,
liluzivert,,Music,,15800000,United States,1100000,2000000,Music,
lilyjcollins,Lily Collins,Cinema & Actors/actresses,,26900000,United States,314300,467300,Entertainment,
linatejeiro,Lina Tejeiro.,Cinema & Actors/actresses,,9200000,Colombia,237700,287000,Entertainment,
lisakudrow,Lisa Kudrow,Cinema & Actors/actresses,,8500000,India,356600,475700,Entertainment,
litkillah,MAWZ💬,Music,,7200000,Argentina,438700,578400,Music,
littlebodybigheart,Melanie Martinez,Music,,11100000,Brazil,913100,1200000,Music,
littlemix,Little Mix,Music,,15400000,Brazil,172100,232000,Music,
liverpoolfc,Liverpool Football Club,Sports with a ball,,36700000,United Kingdom,100200,138200,Sports,
lizakoshy,Liza Koshy,Cinema & Actors/actresses,,19600000,United States,156300,208800,Entertainment,
lizasoberano,Liza Soberano,Beauty,Cinema & Actors/actresses,16900000,Philippines,243100,289900,Beauty/Fashion,Entertainment
lizgillz,Elizabeth Gillies,Music,Cinema & Actors/actresses,13900000,Mexico,563000,816300,Music,Entertainment
lizzobeeating,Lizzo,Music,Lifestyle,12100000,United States,213100,298300,Music,Lifestyle
loganpaul,Logan Paul,Fitness & Gym,,22500000,United States,549400,733800,Sports,
lomon991111,Lomon 991111,,,5700000,,0,1700000,,
loren,loren gray,Fashion,Modeling,22500000,United States,137300,227300,Beauty/Fashion,Beauty/Fashion
loud_babi,Bárbara Passos,Lifestyle,,9200000,Brazil,200100,323500,Lifestyle,
loud_victor,Victor Augusto,Lifestyle,Sports with a ball,10400000,Brazil,511200,652300,Lifestyle,Sports
louist91,Louis Tomlinson,Music,,18200000,Brazil,1100000,1500000,Music,
louisvuitton,Louis Vuitton,Fashion,Clothing & Outfits,47700000,Brazil,46200,59700,Beauty/Fashion,Beauty/Fashion
lucas_lira,Lucas Lira,Humor & Fun & Happiness,Lifestyle,5800000,Brazil,296500,434300,Entertainment,Lifestyle
lucasranngel,LUCAS RANGEL,Lifestyle,,19200000,Brazil,186800,412300,Lifestyle,
lucyhale,Lucy Hale,Cinema & Actors/actresses,,24300000,United States,183500,240400,Entertainment,
ludmilla,Ludmilla,Music,,26500000,Brazil,143500,212600,Music,
luisafernandaw,Luisa Fernanda W,Lifestyle,Beauty,16900000,Colombia,106300,162100,Lifestyle,Beauty/Fashion
luisasonza,LUÍSA SONZA,Music,Lifestyle,28200000,Brazil,125100,198900,Music,Lifestyle
luisitocomunica,Luisillo El Pillo,Humor & Fun & Happiness,Clothing & Outfits,31700000,Mexico,939800,1200000,Entertainment,Beauty/Fashion
luissuarez9,Luis Suarez,Sports with a ball,,43000000,Brazil,238800,356500,Sports,
lukamodric10,Luka Modric,Sports with a ball,,21600000,Spain,419800,616300,Sports,
lunay,EL NIÑO 👶🏻,Music,,10300000,Mexico,202600,296600,Music,
luvadepedreiro,Iran Ferreira,,,9500000,Brazil,910400,2100000,,
lynaritaa,Lyna Perez,,,8600000,United States,227100,299400,,
m_kayoung,MUN KA YOUNG,Cinema & Actors/actresses,,7900000,Indonesia,1100000,1500000,Entertainment,
m10_official,Mesut Özil,Sports with a ball,,24000000,Turkey,526600,738300,Sports,
machinegunkelly,the Blonde Don,Music,,9600000,United States,284000,457500,Music,
maddieziegler,maddie,Cinema & Actors/actresses,Modeling,13900000,United States,533400,799900,Entertainment,Beauty/Fashion
madelame,Madelaine Petsch,Cinema & Actors/actresses,,25300000,Russia,1300000,1800000,Entertainment,
madelyncline,Maddie,,,12400000,United States,1600000,2300000,,
madhuridixitnene,Madhuri Dixit,Music,Cinema & Actors/actresses,30600000,India,297200,343100,Music,Entertainment
madisonbaileybabe,Maddie Baby,Lifestyle,,6700000,United States,416400,779300,Lifestyle,
madisonbeer,Madison Beer,Music,,30600000,United States,630200,940900,Music,
