rank,handle_instagram,name_instagram,category_1,followers,audience_country,engagement_auth,engagement_avg,category_2,unified_cat_1,unified_cat_2
818,trueno,TR1 ⛈,Music,6900000,Argentina,275500,428800,,Music,
819,courteneycoxofficial,Courteney Cox,Cinema & Actors/actresses,12200000,India,180000,237900,,Entertainment,
820,jennifer.garner,Jennifer Garner,Cinema & Actors/actresses,13600000,United States,187700,213100,,Entertainment,
821,sophiedee,Sophie Dee,Adult content,12400000,United States,176300,234900,,Entertainment,
822,kaliuchis,,Music,4000000,United States,419000,723400,,Music,
823,violets.tv,Violet Summers,Adult content,13800000,Italy,153900,211100,,Entertainment,
824,juliopfernandez,J U L I O   P E Ñ A   F. D E Z,Art/Artists,3400000,Brazil,667700,848600,,Entertainment,
825,lilpump,Lil Pump,Music,14900000,United States,121900,190800,,Music,
826,lizzobeeating,Lizzo,Music,13000000,United States,157200,220200,Lifestyle,Music,Lifestyle
827,jordynwoods,HEIR JORDYN,Modeling,12600000,United States,118400,224300,Lifestyle,Beauty/Fashion,Lifestyle
828,armaanmalik,ARMAAN MALIK 🧿,Music,13200000,India,186600,216100,,Music,
829,shaq,DR. SHAQUILLE O'NEAL Ed.D.,Humor & Fun & Happiness,26900000,United States,80700,105900,Sports with a ball,Entertainment,Sports
830,tarajiphenson,taraji p henson,Music,19800000,United States,103300,144600,Cinema & Actors/actresses,Music,Entertainment
831,shxxbi131,B.I,Lifestyle,4100000,Indonesia,605100,708700,,Lifestyle,
832,espn,ESPN,Sports with a ball,23800000,United States,65600,119300,,Sports,
833,riteishd,Riteish Deshmukh,Art/Artists,15500000,India,155900,182100,Cinema & Actors/actresses,Entertainment,Entertainment
834,theroyalfamily,The Royal Family,Family,13000000,Italy,176400,217600,Shows,Lifestyle,Entertainment
835,klarafgcastanho,Klåra Cåstanho,Cinema & Actors/actresses,7400000,Brazil,200100,388100,,Entertainment,
836,mohamedramadanws,Mohamed Ramadan,Music,20500000,Egypt,100800,139200,,Music,
837,valeyellow46,Valentino Rossi,Racing Sports,14100000,Indonesia,152300,198900,,Sports,
838,sthefanematos,STHE ⚓️,Lifestyle,10000000,Brazil,124700,289500,,Lifestyle,
839,kashikakapoor09,Kashika Kapoor,Beauty,9900000,Indonesia,266700,285300,Lifestyle,Beauty/Fashion,Lifestyle
840,lance210,Lance Stewart,Cinema & Actors/actresses,6600000,United States,259800,431100,Humor & Fun & Happiness,Entertainment,Entertainment
841,chieffkeeffsossa,Chief Keef,Music,7800000,United States,197100,364600,,Music,
842,alexis_officia1,Sanchez Alexis,Sports with a ball,14600000,Chile,117300,193600,,Sports,
843,anyageraldine,anya geraldine,Music,11200000,Indonesia,147800,247300,,Music,
844,flay,FLAY 🎙,Lifestyle,7700000,Brazil,177000,369500,Music,Lifestyle,Music
845,sofia9__official,SOFIA ANSARI,Lifestyle,9100000,India,225500,314000,Cinema & Actors/actresses,Lifestyle,Entertainment
846,jenna_chew,JENNA 周甄娜,Fitness & Gym,8200000,United States,279800,341800,,Sports,
847,arishfakhan138,Sayyed Arishfa Khan 💎,Cinema & Actors/actresses,29500000,India,77500,94000,,Entertainment,
848,mohanshakti,Shakti Mohan,Art/Artists,16500000,India,138300,166100,Cinema & Actors/actresses,Entertainment,Entertainment
849,jimmyfallon,Jimmy Fallon,Shows,23100000,United States,94900,118800,Humor & Fun & Happiness,Entertainment,Entertainment
850,iampauloandre,Paulo André 🏁,Photography,9900000,Brazil,102600,290500,Lifestyle,Lifestyle,Lifestyle
851,ewsbdi,로운,,4700000,Indonesia,395900,591800,,,
852,borodylia,Ксения Бородина,Shows,19200000,Russia,115000,141800,Family,Entertainment,Lifestyle
853,natalee.007,Natalie Lee,Modeling,7000000,United States,310800,397200,Music,Beauty/Fashion,Music
854,mterstegen1,Marc ter Stegen,Sports with a ball,13600000,Spain,132400,199500,,Sports,
855,albafloresoficial,Alba Flores,Cinema & Actors/actresses,11500000,Spain,175300,236200,,Entertainment,
856,snejanaonopka15,Snejana Onopka,Modeling,9600000,Brazil,221400,295500,,Beauty/Fashion,
857,saythename_17,SEVENTEEN,Music,10200000,Indonesia,234300,262900,,Music,
858,anas,Anas,Family,5800000,Iraq,367100,476800,Shows,Lifestyle,Entertainment
859,ab,Antonio Brown,Sports with a ball,11300000,United States,118000,241100,,Sports,
860,wdohwan,우도환,Cinema & Actors/actresses,4500000,Indonesia,459300,608800,,Entertainment,
861,actor_jg,배우 이준기 李準基,Cinema & Actors/actresses,6500000,Indonesia,363100,426700,,Entertainment,
862,ashleybenson,Ashley Benson,Modeling,23300000,Brazil,81200,115400,,Beauty/Fashion,
863,letthelordbewithyou,Scott Disick,Lifestyle,27500000,United States,64600,97600,Family,Lifestyle,Lifestyle
864,iiqraaziz,IQRA AZIZ HUSSAIN🇵🇰,Beauty,9000000,India,266500,303800,Modeling,Beauty/Fashion,Beauty/Fashion
865,icc,ICC,Sports with a ball,24300000,India,91700,109700,,Sports,
866,nimratkhairaofficial,NIMRAT KHAIRA,Music,8100000,India,271200,336500,,Music,
867,snoopdogg,snoopdogg,Lifestyle,76400000,United States,24900,35500,Music,Lifestyle,Music
868,zo,Lonzo Ball,Sports with a ball,14700000,United States,101100,182100,,Sports,
869,cnn,CNN,Shows,18100000,United States,107700,148800,Literature & Journalism,Entertainment,Info/Business
870,realshadmehr,Shadmehr Aghili,Music,8200000,Iran,242700,338600,,Music,
871,arcticmonkeys,Arctic Monkeys,Music,4100000,United States,465000,653900,,Music,
872,priyankaamohanofficial,Priyanka Mohan,Photography,3500000,India,660000,757300,Lifestyle,Lifestyle,Lifestyle
873,dacremontgomery,Dacre Montgomery,Cinema & Actors/actresses,8900000,United States,224400,299900,,Entertainment,
874,iamyanetgarcia,Yanet Garcia 🇲🇽,Cinema & Actors/actresses,14900000,Mexico,139600,178200,Modeling,Entertainment,Beauty/Fashion
875,streetartglobe,StreetArtGlobe ™ 😱,Art/Artists,16600000,United States,117700,159900,,Entertainment,
876,maddieziegler,maddie,Cinema & Actors/actresses,13800000,United States,126500,189800,Modeling,Entertainment,Beauty/Fashion
877,_abu_saalim_,ABU SAALIM,Photography,3000000,India,372600,881400,Cinema & Actors/actresses,Lifestyle,Entertainment
878,hannahelzahed,Hannah El-Zahed,Cinema & Actors/actresses,18200000,Egypt,117200,145000,,Entertainment,
879,djokernole,Novak Djokovic,Sports with a ball,11400000,Serbia,187700,230900,,Sports,
880,weareone.exo,EXO Official,Music,10000000,Indonesia,212000,265800,,Music,
881,paollaoliveirareal,Paolla Oliveira,Cinema & Actors/actresses,34900000,Brazil,56700,75100,Lifestyle,Entertainment,Lifestyle
882,trentarnold66,Trent Alexander-Arnold,Lifestyle,7800000,United Kingdom,230400,337500,Sports with a ball,Lifestyle,Sports
883,i_nivethathomas,Nivetha Thomas,Cinema & Actors/actresses,6200000,India,379500,429200,,Entertainment,
884,jeromepolin,Jerome Polin Sijabat ジェローム,Education,7000000,Indonesia,257700,378200,Humor & Fun & Happiness,Info/Business,Entertainment
885,sinavaliollah,Sina Valiollah,Shows,7500000,Iran,282900,356800,,Entertainment,
886,dilettaleotta,🌸Diletta Leotta🌸,Shows,8600000,Italy,206200,307500,,Entertainment,
887,marcoasensio10,Marco Asensio,Sports with a ball,14600000,Spain,115900,177700,,Sports,
888,nidhhiagerwal,Nidhhi Agerwal 🌟,Gaming,25700000,India,84300,101000,Cinema & Actors/actresses,Tech/Gaming,Entertainment
889,ms.sethii,Shilpa Sethi,Modeling,6600000,United States,267800,405100,,Beauty/Fashion,
890,michelle_lewin,Michelle Lewin,Fitness & Gym,15100000,United States,122600,173100,,Sports,
891,galatasaray,Galatasaray,Sports with a ball,11700000,Turkey,183000,221400,,Sports,
892,maxverstappen1,Max Verstappen,Racing Sports,9300000,United States,214400,281900,,Sports,
893,anggayunandareal16,Ucup - The Hacker,Modeling,10500000,Indonesia,169100,244700,,Beauty/Fashion,
894,guaynaa,Guaynaa 🧿,Music,6200000,Mexico,269000,414800,,Music,
895,burnaboygram,Burna Boy,Art/Artists,11500000,Nigeria,121600,223400,Music,Entertainment,Music
896,sergiroberto,Sergi Roberto,Sports with a ball,7600000,Spain,215600,339700,,Sports,
897,rakulpreet,Rakul Singh,Cinema & Actors/actresses,22400000,India,96200,113100,Modeling,Entertainment,Beauty/Fashion
898,lalioficial,LALI❤️‍🔥,Music,11100000,Argentina,160600,229500,,Music,
899,aslisona,Sonakshi Sinha,Cinema & Actors/actresses,23300000,India,90200,109100,Lifestyle,Entertainment,Lifestyle
900,dear.zia,𝑓𝑟𝑒𝑒𝑧𝑖𝑎 .🌼,,3700000,South Korea,612500,688400,,,
901,dominicfike,,Music,3400000,United States,391000,743600,,Music,
902,tamannaahspeaks,Tamannaah Bhatia,Music,17800000,India,121300,141600,Cinema & Actors/actresses,Music,Entertainment
903,kikakim,Kristina Kim,Lifestyle,7100000,Kazakhstan,273600,362100,Music,Lifestyle,Music
904,rubyrose,Ruby Rose,Modeling,20300000,United States,93900,124000,,Beauty/Fashion,
905,thegirljt,JT😸,Music,5800000,United States,161000,441100,,Music,
906,huddy,Chase Hudson,Lifestyle,11500000,United States,157500,217200,Art/Artists,Lifestyle,Entertainment
907,prideofgypsies,Jason Momoa,Cinema & Actors/actresses,17200000,United States,114200,146800,,Entertainment,
908,jscmila,Jessica Mila Agnesia,Beauty,22300000,Indonesia,84100,111600,Modeling,Beauty/Fashion,Beauty/Fashion
909,normani,Normani,Music,7300000,United States,223200,349000,,Music,
910,t22felton,Tom Felton,Music,11900000,United States,162600,210600,Cinema & Actors/actresses,Music,Entertainment
911,rey_mbayang,REY MBAYANG,Music,5100000,Indonesia,303200,493000,,Music,
912,kh1000le,CHENLE ZHONG,Music,1900000,,0,1300000,,Music,
913,qk20,عبدالكريم الهندال الهاشمي - مجلة وضحة,Family,11100000,India,212300,223800,Business & Careers,Lifestyle,Info/Business
914,aoc,Alexandria Ocasio-Cortez,Finance & Economics,8700000,United States,235400,294400,,Info/Business,
915,mirandacosgrove,Miranda Cosgrove,Music,9800000,Brazil,164400,256900,Cinema & Actors/actresses,Music,Entertainment
916,debbyryan,Debby Ryan,Music,16600000,United States,102800,149600,Cinema & Actors/actresses,Music,Entertainment
917,thiago6,Thiago Alcantara,Sports with a ball,9900000,United Kingdom,147800,253500,,Sports,
918,theamitbhadana,Amit Bhadana ( अमित भड़ाना ),Shows,8500000,India,241300,296500,,Entertainment,
919,jacksepticeye,Jacksepticeye,Computers & Gadgets,7900000,United States,274200,318200,Machinery & Technologies,Tech/Gaming,Tech/Gaming
920,dagelan,Dagelan,Humor & Fun & Happiness,21100000,Indonesia,70000,118100,,Entertainment,
921,alvaromorata,Álvaro Morata,Sports with a ball,18000000,Italy,88500,136900,Literature & Journalism,Sports,Info/Business
922,laurenjauregui,Lauren Jauregui,Music,10800000,United States,155500,229700,,Music,
923,rondarousey,Ronda Rousey,Cinema & Actors/actresses,15900000,United States,115600,154900,,Entertainment,
924,bypamella,BY PAMELLA ✨🧿,Shows,9900000,Brazil,147900,253500,,Entertainment,
925,riyadmahrez26.7,RM26,Sports with a ball,9200000,Algeria,210100,270600,,Sports,
926,bowerjamie,ᴊᴀᴍɪᴇ ᴄᴀᴍᴘʙᴇʟʟ ʙᴏᴡᴇʀ,Cinema & Actors/actresses,5500000,Italy,337900,450400,,Entertainment,
927,dearra,De'arra Taylor,,6300000,United States,159500,397400,,,
928,hustlemantherapper,Hustleman 💫,Lifestyle,10100000,United States,219000,241400,,Lifestyle,
929,yuzi_chahal23,Yuzvendra Chahal,Lifestyle,8200000,India,247900,301900,Sports with a ball,Lifestyle,Sports
930,fifaworldcup,FIFA World Cup,Sports with a ball,29100000,India,55700,84100,,Sports,
931,rjkarishma,RJ Karishma,Humor & Fun & Happiness,3700000,India,529900,676500,Cinema & Actors/actresses,Entertainment,Entertainment
932,ricky_martin,Ricky Martin,Music,17300000,Argentina,105500,141600,,Music,
933,nabilla,Nabilla Vergara ✨,Beauty,8000000,France,223900,308100,,Beauty/Fashion,
934,isaias,Isaías,Lifestyle,9000000,Brazil,155600,272600,,Lifestyle,
935,karolsevillaofc,KAROL SEVILLA,Cinema & Actors/actresses,15100000,Brazil,127100,160700,,Entertainment,
936,gucci,,Accessories & Jewellery,49000000,United States,37200,49300,Clothing & Outfits,Beauty/Fashion,Beauty/Fashion
937,sabinahidalgo,Sabina Hidalgo,Lifestyle,4800000,Brazil,432900,519300,Music,Lifestyle,Music
938,_chaechae_1,김채원 (CHAEWON),Lifestyle,2900000,South Korea,699300,841000,,Lifestyle,
939,hyeri_0609,혜리,Music,7300000,South Korea,277700,334500,,Music,
940,nadin_serovski,Nadin Serovski,Family,9400000,Russia,189300,259300,Lifestyle,Lifestyle,Lifestyle
941,lynaritaa,Lyna Perez,Lifestyle,9100000,United States,205500,271300,,Lifestyle,
942,maudeapatow,Maude Apatow,Lifestyle,4800000,United States,304700,504300,Cinema & Actors/actresses,Lifestyle,Entertainment
943,gongyoo_official,공유 gongyoo official,Lifestyle,3600000,Indonesia,537900,675700,,Lifestyle,
944,christian_fig,Christian Figueiredo,Cinema & Actors/actresses,10800000,Brazil,142400,221800,Lifestyle,Entertainment,Lifestyle
945,arashi_5_official,ARASHI,,4400000,Japan,542500,565200,,,
946,soyturkrabia,Rabia,,2800000,Turkey,615400,864300,,,
947,disney,Disney,Shows,34400000,United States,57500,69300,,Entertainment,
948,333cyj333,Ars 🎗,Music,6700000,Thailand,304200,362400,,Music,
949,soycintiacossio,Cintia Cossio,Modeling,5800000,Colombia,337400,421100,Adult content,Beauty/Fashion,Entertainment
950,anthonyjoshua,,Fitness & Gym,14400000,United Kingdom,123000,167300,,Sports,
951,reynmen,reyn,Music,7100000,Turkey,266600,339600,Cinema & Actors/actresses,Music,Entertainment
952,ykaaar,Damiano David/Måneskin,Art/Artists,5200000,Italy,336700,462000,Cinema & Actors/actresses,Entertainment,Entertainment
953,jessica.syj,Jessica Jung,Modeling,10900000,Indonesia,178400,218900,Beauty,Beauty/Fashion,Beauty/Fashion
954,landonorris,Lando Norris,Racing Sports,5800000,Italy,328300,413700,Cars & Motorbikes,Sports,Lifestyle
955,ashleygraham,A S H L E Y  G R A H A M,Modeling,19100000,United States,93200,123200,,Beauty/Fashion,
956,ler_chek,Валерия Чекалина,Lifestyle,10500000,Russia,174600,225100,Beauty,Lifestyle,Beauty/Fashion
957,bmw,BMW,Cars & Motorbikes,33800000,Iran,53200,69500,,Lifestyle,
958,joesthetics,Jo Lindner,Fitness & Gym,7800000,India,200900,306000,,Sports,
959,maitreyiramakrishnan,Maitreyi Ramakrishnan,Photography,3900000,Brazil,413200,604300,Cinema & Actors/actresses,Lifestyle,Entertainment
960,ateez_official_,ATEEZ(에이티즈),,7000000,United States,294400,337700,,,
961,myriamfares,Myriam Fares,Music,20900000,Iraq,82100,111100,,Music,
962,saaihalilintar,SAAIH HALILINTAR,Business & Careers,5000000,Indonesia,377500,468400,Shows,Info/Business,Entertainment
963,salshabillaadr,Salshabilla adriani,Music,14400000,Indonesia,100200,160200,Cinema & Actors/actresses,Music,Entertainment
964,cemrebaysel,Cemre,Lifestyle,3600000,Turkey,489400,658300,,Lifestyle,
965,hasnaink07,Hasnain khan,Gaming,13100000,India,143300,179300,,Tech/Gaming,
966,arsenal,Arsenal,Sports with a ball,22900000,United Kingdom,66800,100800,,Sports,
967,piawurtzbach,Pia Wurtzbach,Beauty,13900000,Philippines,137100,165300,Modeling,Beauty/Fashion,Beauty/Fashion
968,tamaaev,Тамаев Асхаб,Fitness & Gym,5100000,Russia,324800,457600,,Sports,
969,eunbining0904,박은빈,Music,2900000,South Korea,690100,814700,,Music,
970,tarasutaria,TARA💫,Cinema & Actors/actresses,8200000,India,226900,285800,,Entertainment,
971,viking.barbie,Viking Barbie⚔,Adult content,11500000,United States,131500,200900,,Entertainment,
972,brycehall,Bryce Hall,Music,7200000,United States,252300,324000,,Music,
973,illusomina,Shinmina,Cinema & Actors/actresses,4500000,Indonesia,412700,514800,,Entertainment,
974,sahilkhan,India’s Youth & Fitness IC⭕️N®,Fitness & Gym,10900000,India,154800,210000,,Sports,
975,julienco_,! Julian,Lifestyle,6400000,Germany,294600,362900,Family,Lifestyle,Lifestyle
976,____kimwoobin,김우빈,Lifestyle,3900000,Indonesia,452800,597300,,Lifestyle,
977,aidanrgallagher,Aidan R Gallagher,Music,7700000,Mexico,250400,301300,,Music,
978,mccabelinho,LITTLE HAIR,Lifestyle,5400000,Brazil,218900,431900,Music,Lifestyle,Music
979,stebinben,Stebin Ben,Music,11900000,India,155000,190200,Lifestyle,Music,Lifestyle
980,optimushwang,황민현,Lifestyle,4400000,South Korea,444000,529200,,Lifestyle,
981,divyankatripathidahiya,Divyanka Tripathi Dahiya,Shows,21100000,India,93300,107800,Cinema & Actors/actresses,Entertainment,Entertainment
982,aycaaysinturan,Ayça Ayşin Turan,Cinema & Actors/actresses,6000000,Turkey,289800,387600,,Entertainment,
983,officialslystallone,Sly Stallone,Art/Artists,15200000,United States,118100,149100,Cinema & Actors/actresses,Entertainment,Entertainment
984,haifa_hassony,هيفاء حسوني Haifa Hassony,Modeling,15100000,Iraq,112700,150400,Fitness & Gym,Beauty/Fashion,Sports
985,feid,FERXXO,Music,5000000,Colombia,220800,457200,,Music,
986,03_hu,박지후,Lifestyle,4200000,South Korea,441600,541600,,Lifestyle,
987,nameisnani,Nani,Humor & Fun & Happiness,5300000,India,396400,427900,Cinema & Actors/actresses,Entertainment,Entertainment
988,_hakkencoser_,Hakken 八犬,Gaming,3700000,United States,500200,611300,Photography,Tech/Gaming,Lifestyle
989,kyliecosmetics,Kylie Cosmetics,Beauty,26000000,United States,59800,86100,Shopping & Retail,Beauty/Fashion,Beauty/Fashion
990,kawtarbamo,KAWTAR BA-MOHAMED كوثر بامو,Cinema & Actors/actresses,7600000,Morocco,220600,298900,,Entertainment,
991,jimena.jimenezr,Jimena,,5900000,Mexico,265600,383400,,,
992,hank_says_hank,Hank 행크,,3300000,South Korea,576700,676800,,,
993,taylor_hill,Taylor Hill,Art/Artists,20800000,United States,71600,106900,Fashion,Entertainment,Beauty/Fashion
994,epa_colombia,EPA COLOMBIA,,5100000,Colombia,322200,443200,,,
995,beberexha,Bebe Rexha,Music,10700000,India,139500,206300,Lifestyle,Music,Lifestyle
996,thenewclassic,Iggy Azalea,Music,16700000,United States,82100,132800,,Music,
997,min.nicha,MINNIE,Lifestyle,4200000,Thailand,385500,526600,Music,Lifestyle,Music
998,francety,Francia James,Adult content,11400000,India,149900,196600,,Entertainment,
999,silambarasantrofficial,Silambarasan TR,Shows,10200000,India,169600,216600,Lifestyle,Entertainment,Lifestyle
1000,lalala_lfamily,Lfamily,Music,2500000,Thailand,752900,900400,,Music,
