rank,handle_instagram,name_instagram,category_1,followers,audience_country,engagement_auth,engagement_avg,category_2,unified_cat_1,unified_cat_2
184,erling.haaland,Erling Braut Haaland,Lifestyle,18300000,Brazil,701000,1000000,Sports with a ball,Lifestyle,Sports
185,cznburak,Burak Özdemir,Food & Cooking,41000000,Turkey,341300,462900,,Lifestyle,
186,miakhalifa,Mia K.,Fitness & Gym,27700000,India,416900,666800,Lifestyle,Sports,Lifestyle
187,onyourm__ark,Mark,Lifestyle,9400000,Indonesia,1600000,2000000,,Lifestyle,
188,lilbaby,,Music,20400000,United States,485900,896600,,Music,
189,anuel,“REAL HASTA LA MUERTE”,Music,29600000,Spain,404200,615800,,Music,
190,enhypen,ENHYPEN,Lifestyle,11000000,Indonesia,1200000,1600000,,Lifestyle,
191,iamhalsey,halsey,Music,30600000,United States,440900,580300,,Music,
192,momo,모모 (MOMO),Lifestyle,8100000,Turkey,1500000,2200000,,Lifestyle,
193,do0_nct,Doyoung,Lifestyle,10500000,Indonesia,1300000,1700000,,Lifestyle,
194,zachking,Zach King,Shows,24400000,Indonesia,463200,713400,Humor & Fun & Happiness,Entertainment,Entertainment
195,sunnyleone,Sunny Leone,Beauty,54000000,India,236100,320000,Cinema & Actors/actresses,Beauty/Fashion,Entertainment
196,bbrightvc,bright,Cinema & Actors/actresses,16100000,Indonesia,887500,1100000,,Entertainment,
197,lukamodric10,Luka Modric,Sports with a ball,25000000,Spain,468100,686200,,Sports,
198,gatenm123,Gaten Matarazzo,Music,18800000,Brazil,684000,903400,Cinema & Actors/actresses,Music,Entertainment
199,jamescharles,James Charles,Beauty,22600000,United States,510000,747600,,Beauty/Fashion,
200,kapilsharma,Kapil Sharma,Cinema & Actors/actresses,42900000,India,346500,394700,Shows,Entertainment,Entertainment
201,serna_amini,Serna Amini,,9800000,Iran,1300000,1800000,,,
202,josephquinn,Joseph Quinn,Cinema & Actors/actresses,8600000,Brazil,1700000,2000000,,Entertainment,
203,kajalaggarwalofficial,Kajal A Kitchlu,Cinema & Actors/actresses,23600000,India,589900,712900,,Entertainment,
204,louist91,Louis Tomlinson,Music,18500000,Brazil,665300,908800,,Music,
205,madelyncline,Maddie,Cinema & Actors/actresses,12600000,United States,913400,1300000,,Entertainment,
206,haileesteinfeld,hailee steinfeld,Cinema & Actors/actresses,19700000,United States,657500,834800,,Entertainment,
207,ladygaga,Lady Gaga,Music,53200000,United States,220700,309100,Cinema & Actors/actresses,Music,Entertainment
208,zidane,zidane,Sports with a ball,33900000,Spain,355300,484500,,Sports,
209,chrisbrownofficial,BREEZY,Music,118800000,United States,88500,137900,,Music,
210,emmawatson,Emma Watson,Literature & Journalism,67300000,United States,177200,241800,Cinema & Actors/actresses,Info/Business,Entertainment
211,nina,Nina Dobrev,Cinema & Actors/actresses,25800000,Brazil,432300,619700,,Entertainment,
212,brentrivera,Brent Rivera,Music,22300000,United States,558100,724300,Cinema & Actors/actresses,Music,Entertainment
213,anushkasen0408,Anushka Sen,Cinema & Actors/actresses,38600000,India,355600,415100,,Entertainment,
214,juandediospantoja,JD PANTOJA 🇲🇽,Music,22700000,Mexico,617700,704800,Art/Artists,Music,Entertainment
215,emilia_clarke,,Cinema & Actors/actresses,27000000,India,468700,589900,,Entertainment,
216,itzy.all.in.us,ITZY,Music,18000000,Indonesia,720100,880100,,Music,
217,carryminati,𝑨𝒋𝒆𝒚 𝑵𝒂𝒈𝒂𝒓,Computers & Gadgets,16100000,India,830300,976800,Machinery & Technologies,Tech/Gaming,Tech/Gaming
218,nayeonyny,나연 (NAYEON),Lifestyle,8500000,Brazil,1600000,1900000,,Lifestyle,
219,riaricis1795,RICIS,Lifestyle,32000000,Indonesia,395900,484500,,Lifestyle,
220,sidmalhotra,Sidharth Malhotra,Cinema & Actors/actresses,20800000,India,598500,744300,Modeling,Entertainment,Beauty/Fashion
221,taeyeon_ss,TaeYeon,Music,18800000,South Korea,672600,817800,,Music,
222,liluzivert,Lil Uzi Vert,Music,16500000,United States,511100,939400,,Music,
223,annehathaway,Anne Hathaway,Cinema & Actors/actresses,24900000,United States,466600,614800,,Entertainment,
224,nct,NCT Official Instagram,Music,14700000,Indonesia,837500,1000000,,Music,
225,ananyapanday,Ananya 💛💫,Cinema & Actors/actresses,23800000,India,544600,636100,,Entertainment,
226,thinkaboutzu,쯔위 (TZUYU),,8100000,India,1600000,1900000,,,
