rank,name,followers,er,country,topic_of_influence,potential_reach,unified_category,handle
36,Mati Spano,4200000,0.7,Argentina,,1300000,,@UCG8_xGH-BgiAgKpQCYvxnMw
37,Pato Horneado,4100000,1.1,Argentina,,1200000,,@UC1-XsQ1mbEQa1Q9tNVq299w
38,Oracion Poderosa,4000000,0.1,Argentina,,1200000,,@UColQ7ZuIuyX4svwM5NgMkEQ
39,Bebe Milo,4000000,,Argentina,,1200000,,@UCkAdZOg4s4b2OjpubZoQfcA
40,NewTrollWsp,3900000,0.3,Argentina,,1200000,,@UCYAteaDkv50diBSqtUBuylw
41,Angie Velasco,3900000,2.0,Argentina,,1200000,,@UC2rScBVAJSkL4qXn-27t80A
42,Tiago PZK,3900000,,Argentina,,1200000,,@UCMebXsaxWdvBzBNwus7TmxA
43,Vida Salud y Bienestar,3900000,,Argentina,,1200000,,@UCsOR_wUMRQW7n5PzDWHaCMw
44,Maria Becerra Music,3700000,3.4,Argentina,,1100000,,@UCEcb76oxfjpX5eGysQCHvcA
45,Emir Abdul Gani,3600000,1.1,Argentina,,1100000,,@UCeKoSVLoLWJobkpbUNQ4zFQ
46,Paulina Cocina,3600000,0.1,Argentina,,1100000,,@UCpNbMDNc_GXApuxL4aHjSsA
47,Julian Abdala,3400000,,Argentina,,1000000,,@UCMIBUhL2pb_wPFPoeJ5MWBA
48,Tutoriales Belen,3300000,0.1,Argentina,,999000,,@UCX5l0KeYRfi8lyid74PmD5Q
49,Mica Suarez,3300000,,Argentina,,999000,,@UCXeSY_pfOKGh9WBmptzr-gg
50,RobleisJAJA,3300000,0.3,Argentina,,984000,,@UCn5HFCxKie3MuaQVy2V6N4w
51,SpreenDMC,3200000,,Argentina,,972000,,@UC4DLCrt55UwaDvAswIr_59A
52,Lionel Ferro,3200000,,Argentina,,945000,,@UC5ZAkiI3NFIpbflatylVHSw
53,Carreraaa,3100000,,Argentina,,915000,,@UC6ET4qAF3a_yl_zAduAZ93Q
54,PassThor,3000000,,Argentina,,903000,,@UCpzSEpcvo3xIYatCnwsezTQ
55,PopArt Discos,3000000,,Argentina,,891000,,@UCDedmKlcV4qoJZOW7H8KhQw
56,Gonzaa Fonseca,2800000,0.5,Argentina,,849000,,@UCzLYhGr4096iftF-TF_Z45Q
57,DeiGamer,2800000,,Argentina,,846000,,@UCjoKyJSPrvt4H9jX8iNV_2g
58,Televisión Pública,2800000,,Argentina,,837000,,@UCs231K71Bnu5295_x0MB5Pg
59,Romi,2800000,,Argentina,,825000,,@UCDhGqq9GO0Xd3RWsr0K4JoA
60,benja calero,2700000,2.2,Argentina,,813000,,@UCYydV0b9GawikL_L5b2yt-Q
61,Lyna Vallejos,2600000,1.0,Argentina,,765000,,@UCEvepTi-oUU_i4Xk68zwKiw
62,JugandoConNatalia,2500000,,Argentina,,759000,,@UCvI5QEvQXYOtJN04RpGSIYA
63,Farfadox,2500000,,Argentina,,747000,,@UC9_krwU8wTPCZRKaf34QnPw
64,VALENTIN,2500000,,Argentina,,744000,,@UCW-BILGPMGo_R-phP6FLsDw
65,Todo Noticias,2400000,,Argentina,,732000,,@UCj6PcyLvpnIRT_2W_mwa9Aw
66,JAVI 🎵,2400000,1.0,Argentina,,732000,,@UCdIkXoFYHWyOaKiQMo0qInQ
67,MYA,2400000,1.2,Argentina,,729000,,@UCojQL7h1Upilz-uD4ByK6SQ
68,NICO VILLA,2400000,0.6,Argentina,,726000,,@UCJg_jZ2_s-DuK8Fi17gSW-A
69,Malena Igoa,2400000,4.5,Argentina,,714000,,@UC3v3yJcglaZqIS8jDD4SNDA
70,TOPS DE ANIMES CADA 3 DIAS,2300000,2.4,Argentina,,690000,,@UCFBqWyZfjK5hg455-x8-dGg
71,Locos X el Asado,2200000,0.2,Argentina,,666000,,@UCMb_jTYA_oFqJVJneNUH0Zg
72,Melina,2200000,0.1,Argentina,,657000,,@UCqq5hdNifsYZGEaQrXveONw
73,Soda Stereo,2200000,,Argentina,,648000,,@UC_MAancGcA0YeACrpSwokhQ
74,Me Llamo Dani,2200000,,Argentina,,645000,,@UCUm9sjKZiAJLWuIgNZWOCLA
75,ori de mier,2100000,0.9,Argentina,,639000,,@UCHMPE6JRQ6O87mPEiPumWpA
76,LuzGamingxd,2100000,,Argentina,,636000,,@UC1h59hDy9MySp0OdLk_Rvlg
77,Mariano Bondar,2100000,0.1,Argentina,,633000,,@UCHT2rctdd5RnXDZ-DoJOeEA
78,efecto3d,2100000,,Argentina,,633000,,@UCwlMaF6wmceJdWDfPbijVJQ
79,CasimochoTV,2000000,,Argentina,,603000,,@UCyIV9CarCowla0kj-197DoA
80,Los Displicentes,2000000,1.1,Argentina,,603000,,@UCRN-6-DPNncVEyeRAOmNAKg
81,Mundo Kuku,2000000,,Argentina,,603000,,@UCpP4ZcucbMtwjcqw2Dzuc3Q
82,BRUTA COCINA,2000000,5.1,Argentina,,600000,,@UC0kDYiP06Wb13lBbARzo4UA
83,Gustavo GG,2000000,,Argentina,,600000,,@gustavogg
84,Fer Palacio,2000000,,Argentina,,594000,,@UClEAgGuwAbSLZ5EEdfvMM7A
85,Rusher King,2000000,6.2,Argentina,,594000,,@UCtjWhhoz5OBFZC_cFuFl98w
86,A bailar con Maga,2000000,0.1,Argentina,,588000,,@UCoKOB2xyfL8G7td5DslpcIw
87,VIRAL TV,2000000,0.2,Argentina,,588000,,@UCjve0B0x9w5GoEFKhXc73Ow
88,Hecatombe Producciones,1900000,0.3,Argentina,,582000,,@UC8j2ipLBwVmiSj22Wp7VJeQ
