rank,name,followers,er,country,topic_of_influence,potential_reach,unified_category,handle
35,Даша,985800,,Ukraine,,295700,,@makogon.dasha
36,Tary,985400,,Ukraine,Education,295600,Info/Business,@taras_povoroznyk
37,NAZARKA_18➕,977500,,Ukraine,,293300,,@nazivin00
38,Просто Шурик,968700,,Ukraine,,290600,,@teran1t
39,ОЛИНКА,964100,,Ukraine,,289200,,@alinoises
40,Кристина,958600,,Ukraine,Art,287600,Entertainment,@tinchik__
41,Presidentniki curve model,948700,,Ukraine,Fashion and Accessories,284600,Beauty/Fashion,@presidentniki
42,Anatoliy Dobrovolskiy,946000,0.4,Ukraine,,283800,,@dobrovolskiy_hchef
43,J,940500,0.2,Ukraine,,282200,,@nicolee.aep
44,Ivanna,939700,,Ukraine,,281900,,@yosoy_ivanna
45,Abrekc,935700,,Ukraine,,280700,,@abreck_official
46,МАРИК,925200,,Ukraine,,277600,,@marikbey
47,Nikolas🎅🏻,898300,,Ukraine,,269500,,@malchyn_27
48,luna & glebbb,896500,,Ukraine,,269000,,@glebiluna
49,Трафареты.Антон DFA.Stencils,895000,,Ukraine,Arts and Crafts,268500,Entertainment,@anton_dfa_decor_for_all
50,Kakashi Hatake,887400,,Ukraine,,266200,,@shinobi_cosplay
51,❤️ТОШЕЧКА❤️,881800,,Ukraine,,264500,,@top4uuuk
52,Candy Superstar,879100,,Ukraine,,263700,,@candy.superstar
53,Нова Мрія🇺🇦,876700,,Ukraine,Education Funny,263000,Info/Business,@karlos.tramble
54,Tetiana Skalozub,868400,,Ukraine,,260500,,@tsminibears
55,Anastasia-Maria 👼🏼,867800,,Ukraine,,260300,,@anasteiji
56,Netflixclips🔥,849800,,Ukraine,,254900,,@ubiiinetflix
57,Илюшка Ilushka,845900,,Ukraine,,253800,,@ilushkav2
58,Zaitcev_Artem,840300,,Ukraine,,252100,,@zaitcev_artem
59,kate musmova,839700,,Ukraine,Beauty and Self Care,251900,Beauty/Fashion,@kate.musmova
