rank,handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg,_platform,_month,_year
469,jounggustav,Joung Gustav,3.4M,9.6M,1.3M,4.7K,6.7K,tiktok,june,2022
470,juanchimy,Juan Lopez,3.1M,2.1M,485K,2.4K,2.1K,tiktok,june,2022
471,jubiandxian,jubiandxian,4.7M,3.3M,557.8K,3K,2.6K,tiktok,june,2022
472,julesleblanc,jules,18.7M,1.9M,455.7K,1.6K,554,tiktok,june,2022
473,juliaaliceaa,jujuuu,3.7K,2.2M,550.3K,3.1K,14.3K,tiktok,june,2022
474,juliagisella,Julia Gisella,11.5M,2.6M,381.3K,7.4K,6.9K,tiktok,june,2022
475,junya1gou,Junya/じゅんや,42.7M,3.9M,174.4K,2.1K,2.3K,tiktok,june,2022
476,just_dt,Dt,8.9M,1.4M,221K,3.2K,2.8K,tiktok,june,2022
477,just.hamilton,Just Hamilton,2.6M,1M,185.5K,1.1K,3.4K,tiktok,june,2022
478,just.hamilton,Just Hamilton,2.6M,1M,185.5K,1.1K,3.4K,tiktok,june,2022
479,justthenobodys,JustTheNobodys,7.9M,2.9M,293.8K,1.5K,1.2K,tiktok,june,2022
480,jwaltonnn,ᴊ⚡️,733.4K,1.6M,350.9K,27K,2.5K,tiktok,june,2022
481,k0uvr,Kouvr,13.6M,2.3M,404.2K,854,321,tiktok,june,2022
482,kaan.etm,Kaan,3.1M,1.5M,322.5K,2.1K,862,tiktok,june,2022
483,kaelimaee,kaeli mae,9M,1.9M,293.6K,682,864,tiktok,june,2022
484,kallmekris,Kris HC,44.5M,4.1M,784.3K,5.3K,2.1K,tiktok,june,2022
485,kamuimi,anto🦋,306.2K,2.1M,411.3K,2.2K,522,tiktok,june,2022
486,karmalust.ff,karmalust ff,204.6K,962.9K,40.6K,36.1K,745,tiktok,june,2022
487,kartiniinspiringwoman,kartini.skm,359.9K,970.1K,80.8K,2.4K,11.6K,tiktok,june,2022
488,katclark86,Kat Clark,1.9M,2.7M,381.9K,1.1K,211,tiktok,june,2022
489,kaylamalecc,kayla,7.9M,3.3M,462.6K,3.9K,255,tiktok,june,2022
490,keirariff,Keira,4.2M,3.3M,545.2K,1.8K,2.5K,tiktok,june,2022
491,keniaos,KeniaOs,14.6M,1.6M,280.7K,4.8K,822,tiktok,june,2022
492,kenti.best.boi,kenti 🎨,1.2M,1M,167.9K,1.9K,3.4K,tiktok,june,2022
493,kervo.dolo,Kervo.dolo,9.7M,5.6M,1.2M,7K,14.9K,tiktok,june,2022
494,keysilva990,Zukey Silva 🧿❤️,29.2K,2.3M,134.3K,1.5K,1.3K,tiktok,june,2022
495,kfc_es,KFC España,2.8M,1.2M,171.7K,3K,1.5K,tiktok,june,2022
496,khaby.lame,Khabane lame,143.2M,25.3M,2.9M,23.5K,16.3K,tiktok,june,2022
